time,x,y,z
20160805 15:22:08.850082,0,130529,130529,130529
20160805 15:22:08.857895,0,131289,131289,131289
20160805 15:22:08.865708,0,131290,131290,131290
20160805 15:22:08.873520,0,131291,131291,131291
20160805 15:22:08.881332,0,131292,131292,131292
20160805 15:22:08.889145,0,131293,131293,131293
20160805 15:22:08.896958,0,131294,131294,131294
20160805 15:22:08.904770,0,131295,131295,131295
20160805 15:22:08.912582,0,131296,131296,131296
20160805 15:22:08.920395,0,131297,131297,131297
20160805 15:22:08.928208,0,131298,131298,131298
20160805 15:22:08.936020,0,131299,131299,131299
20160805 15:22:08.943832,0,131300,131300,131300
20160805 15:22:08.951645,0,131301,131301,131301
20160805 15:22:08.959458,0,131302,131302,131302
20160805 15:22:08.967270,0,131303,131303,131303
20160805 15:22:08.975082,0,131304,131304,131304
20160805 15:22:08.982895,0,131305,131305,131305
20160805 15:22:08.990708,0,131306,131306,131306
20160805 15:22:08.998520,0,131307,131307,131307
20160805 15:22:09.006332,0,131308,131308,131308
20160805 15:22:09.014145,0,131309,131309,131309
20160805 15:22:09.021958,0,131310,131310,131310
20160805 15:22:09.029770,0,131311,131311,131311
20160805 15:22:09.037582,0,131312,131312,131312
20160805 15:22:09.045395,0,131313,131313,131313
20160805 15:22:09.053208,0,131314,131314,131314
20160805 15:22:09.061020,0,131315,131315,131315
20160805 15:22:09.068832,0,131316,131316,131316
20160805 15:22:09.076645,0,131317,131317,131317
20160805 15:22:09.084458,0,131318,131318,131318
20160805 15:22:09.092270,0,131319,131319,131319
20160805 15:22:09.100082,0,131320,131320,131320
20160805 15:22:09.107895,0,131321,131321,131321
20160805 15:22:09.115708,0,131322,131322,131322
20160805 15:22:09.123520,0,131323,131323,131323
20160805 15:22:09.131332,0,131324,131324,131324
20160805 15:22:09.139145,0,131325,131325,131325
20160805 15:22:09.146958,0,131326,131326,131326
20160805 15:22:09.154770,0,131327,131327,131327
20160805 15:22:09.162582,0,131328,131328,131328
20160805 15:22:09.170395,0,131329,131329,131329
20160805 15:22:09.178208,0,131330,131330,131330
20160805 15:22:09.186020,0,131331,131331,131331
20160805 15:22:09.193832,0,131332,131332,131332
20160805 15:22:09.201645,0,131333,131333,131333
20160805 15:22:09.209458,0,131334,131334,131334
20160805 15:22:09.217270,0,131335,131335,131335
20160805 15:22:09.225082,0,131336,131336,131336
20160805 15:22:09.232895,0,131337,131337,131337
20160805 15:22:09.240708,0,131338,131338,131338
20160805 15:22:09.248520,0,131339,131339,131339
20160805 15:22:09.256332,0,131340,131340,131340
20160805 15:22:09.264145,0,131341,131341,131341
20160805 15:22:09.271958,0,131342,131342,131342
20160805 15:22:09.279770,0,131343,131343,131343
20160805 15:22:09.287582,0,131344,131344,131344
20160805 15:22:09.295395,0,131345,131345,131345
20160805 15:22:09.303208,0,131346,131346,131346
20160805 15:22:09.311020,0,131347,131347,131347
20160805 15:22:09.318832,0,131348,131348,131348
20160805 15:22:09.326645,0,131349,131349,131349
20160805 15:22:09.334458,0,131350,131350,131350
20160805 15:22:09.342270,0,131351,131351,131351
20160805 15:22:09.350082,0,131352,131352,131352
20160805 15:22:09.357895,0,131353,131353,131353
20160805 15:22:09.365708,0,131354,131354,131354
20160805 15:22:09.373520,0,131355,131355,131355
20160805 15:22:09.381332,0,131356,131356,131356
20160805 15:22:09.389145,0,131357,131357,131357
20160805 15:22:09.396958,0,131358,131358,131358
20160805 15:22:09.404770,0,131359,131359,131359
20160805 15:22:09.412582,0,131360,131360,131360
20160805 15:22:09.420395,0,131361,131361,131361
20160805 15:22:09.428208,0,131362,131362,131362
20160805 15:22:09.436020,0,131363,131363,131363
20160805 15:22:09.443832,0,131364,131364,131364
20160805 15:22:09.451645,0,131365,131365,131365
20160805 15:22:09.459458,0,131366,131366,131366
20160805 15:22:09.467270,0,131367,131367,131367
20160805 15:22:09.475082,0,131368,131368,131368
20160805 15:22:09.482895,0,131369,131369,131369
20160805 15:22:09.490708,0,131370,131370,131370
20160805 15:22:09.498520,0,131371,131371,131371
20160805 15:22:09.506332,0,131372,131372,131372
20160805 15:22:09.514145,0,131373,131373,131373
20160805 15:22:09.521958,0,131374,131374,131374
20160805 15:22:09.529770,0,131375,131375,131375
20160805 15:22:09.537582,0,131376,131376,131376
20160805 15:22:09.545395,0,131377,131377,131377
20160805 15:22:09.553208,0,131378,131378,131378
20160805 15:22:09.561020,0,131379,131379,131379
20160805 15:22:09.568832,0,131380,131380,131380
20160805 15:22:09.576645,0,131381,131381,131381
20160805 15:22:09.584458,0,131382,131382,131382
20160805 15:22:09.592270,0,131383,131383,131383
20160805 15:22:09.600082,0,131384,131384,131384
20160805 15:22:09.607895,0,131385,131385,131385
20160805 15:22:09.615708,0,131386,131386,131386
20160805 15:22:09.623520,0,131387,131387,131387
20160805 15:22:09.631332,0,131388,131388,131388
20160805 15:22:09.639145,0,131389,131389,131389
20160805 15:22:09.646958,0,131390,131390,131390
20160805 15:22:09.654770,0,131391,131391,131391
20160805 15:22:09.662582,0,131392,131392,131392
20160805 15:22:09.670395,0,131393,131393,131393
20160805 15:22:09.678208,0,131394,131394,131394
20160805 15:22:09.686020,0,131395,131395,131395
20160805 15:22:09.693832,0,131396,131396,131396
20160805 15:22:09.701645,0,131397,131397,131397
20160805 15:22:09.709458,0,131398,131398,131398
20160805 15:22:09.717270,0,131399,131399,131399
20160805 15:22:09.725082,0,131400,131400,131400
20160805 15:22:09.732895,0,131401,131401,131401
20160805 15:22:09.740708,0,131402,131402,131402
20160805 15:22:09.748520,0,131403,131403,131403
20160805 15:22:09.756332,0,131404,131404,131404
20160805 15:22:09.764145,0,131405,131405,131405
20160805 15:22:09.771958,0,131406,131406,131406
20160805 15:22:09.779770,0,131407,131407,131407
20160805 15:22:09.787582,0,131408,131408,131408
20160805 15:22:09.795395,0,131409,131409,131409
20160805 15:22:09.803208,0,131410,131410,131410
20160805 15:22:09.811020,0,131411,131411,131411
20160805 15:22:09.818832,0,131412,131412,131412
20160805 15:22:09.826645,0,131413,131413,131413
20160805 15:22:09.834458,0,131414,131414,131414
20160805 15:22:09.842270,0,131415,131415,131415
20160805 15:22:09.850082,0,131416,131416,131416
20160805 15:22:09.857895,0,131417,131417,131417
20160805 15:22:09.865708,0,131418,131418,131418
20160805 15:22:09.873520,0,131419,131419,131419
20160805 15:22:09.881332,0,131420,131420,131420
20160805 15:22:09.889145,0,131421,131421,131421
20160805 15:22:09.896958,0,131422,131422,131422
20160805 15:22:09.904770,0,131423,131423,131423
20160805 15:22:09.912582,0,131424,131424,131424
20160805 15:22:09.920395,0,131425,131425,131425
20160805 15:22:09.928208,0,131426,131426,131426
20160805 15:22:09.936020,0,131427,131427,131427
20160805 15:22:09.943832,0,131428,131428,131428
20160805 15:22:09.951645,0,131429,131429,131429
20160805 15:22:09.959458,0,131430,131430,131430
20160805 15:22:09.967270,0,131431,131431,131431
20160805 15:22:09.975082,0,131432,131432,131432
20160805 15:22:09.982895,0,131433,131433,131433
20160805 15:22:09.990708,0,131434,131434,131434
20160805 15:22:09.998520,0,131435,131435,131435
20160805 15:22:10.006332,0,131436,131436,131436
20160805 15:22:10.014145,0,131437,131437,131437
20160805 15:22:10.021958,0,131438,131438,131438
20160805 15:22:10.029770,0,131439,131439,131439
20160805 15:22:10.037582,0,131440,131440,131440
20160805 15:22:10.045395,0,131441,131441,131441
20160805 15:22:10.053208,0,131442,131442,131442
20160805 15:22:10.061020,0,131443,131443,131443
20160805 15:22:10.068832,0,131444,131444,131444
20160805 15:22:10.076645,0,131445,131445,131445
20160805 15:22:10.084458,0,131446,131446,131446
20160805 15:22:10.092270,0,131447,131447,131447
20160805 15:22:10.100082,0,131448,131448,131448
20160805 15:22:10.107895,0,131449,131449,131449
20160805 15:22:10.115708,0,131450,131450,131450
20160805 15:22:10.123520,0,131451,131451,131451
20160805 15:22:10.131332,0,131452,131452,131452
20160805 15:22:10.139145,0,131453,131453,131453
20160805 15:22:10.146958,0,131454,131454,131454
20160805 15:22:10.154770,0,131455,131455,131455
20160805 15:22:10.162582,0,131456,131456,131456
20160805 15:22:10.170395,0,131457,131457,131457
20160805 15:22:10.178208,0,131458,131458,131458
20160805 15:22:10.186020,0,131459,131459,131459
20160805 15:22:10.193832,0,131460,131460,131460
20160805 15:22:10.201645,0,131461,131461,131461
20160805 15:22:10.209458,0,131462,131462,131462
20160805 15:22:10.217270,0,131463,131463,131463
20160805 15:22:10.225082,0,131464,131464,131464
20160805 15:22:10.232895,0,131465,131465,131465
20160805 15:22:10.240708,0,131466,131466,131466
20160805 15:22:10.248520,0,131467,131467,131467
20160805 15:22:10.256332,0,131468,131468,131468
20160805 15:22:10.264145,0,131469,131469,131469
20160805 15:22:10.271958,0,131470,131470,131470
20160805 15:22:10.279770,0,131471,131471,131471
20160805 15:22:10.287582,0,131472,131472,131472
20160805 15:22:10.295395,0,131473,131473,131473
20160805 15:22:10.303208,0,131474,131474,131474
20160805 15:22:10.311020,0,131475,131475,131475
20160805 15:22:10.318832,0,131476,131476,131476
20160805 15:22:10.326645,0,131477,131477,131477
20160805 15:22:10.334458,0,131478,131478,131478
20160805 15:22:10.342270,0,131479,131479,131479
20160805 15:22:10.350082,0,131480,131480,131480
20160805 15:22:10.357895,0,131481,131481,131481
20160805 15:22:10.365708,0,131482,131482,131482
20160805 15:22:10.373520,0,131483,131483,131483
20160805 15:22:10.381332,0,131484,131484,131484
20160805 15:22:10.389145,0,131485,131485,131485
20160805 15:22:10.396958,0,131486,131486,131486
20160805 15:22:10.404770,0,131487,131487,131487
20160805 15:22:10.412582,0,131488,131488,131488
20160805 15:22:10.420395,0,131489,131489,131489
20160805 15:22:10.428208,0,131490,131490,131490
20160805 15:22:10.436020,0,131491,131491,131491
20160805 15:22:10.443832,0,131492,131492,131492
20160805 15:22:10.451645,0,131493,131493,131493
20160805 15:22:10.459458,0,131494,131494,131494
20160805 15:22:10.467270,0,131495,131495,131495
20160805 15:22:10.475082,0,131496,131496,131496
20160805 15:22:10.482895,0,131497,131497,131497
20160805 15:22:10.490708,0,131498,131498,131498
20160805 15:22:10.498520,0,131499,131499,131499
20160805 15:22:10.506332,0,131500,131500,131500
20160805 15:22:10.514145,0,131501,131501,131501
20160805 15:22:10.521958,0,131502,131502,131502
20160805 15:22:10.529770,0,131503,131503,131503
20160805 15:22:10.537582,0,131504,131504,131504
20160805 15:22:10.545395,0,131505,131505,131505
20160805 15:22:10.553208,0,131506,131506,131506
20160805 15:22:10.561020,0,131507,131507,131507
20160805 15:22:10.568832,0,131508,131508,131508
20160805 15:22:10.576645,0,131509,131509,131509
20160805 15:22:10.584458,0,131510,131510,131510
20160805 15:22:10.592270,0,131511,131511,131511
20160805 15:22:10.600082,0,131512,131512,131512
20160805 15:22:10.607895,0,131513,131513,131513
20160805 15:22:10.615708,0,131514,131514,131514
20160805 15:22:10.623520,0,131515,131515,131515
20160805 15:22:10.631332,0,131516,131516,131516
20160805 15:22:10.639145,0,131517,131517,131517
20160805 15:22:10.646958,0,131518,131518,131518
20160805 15:22:10.654770,0,131519,131519,131519
20160805 15:22:10.662582,0,131520,131520,131520
20160805 15:22:10.670395,0,131521,131521,131521
20160805 15:22:10.678208,0,131522,131522,131522
20160805 15:22:10.686020,0,131523,131523,131523
20160805 15:22:10.693832,0,131524,131524,131524
20160805 15:22:10.701645,0,131525,131525,131525
20160805 15:22:10.709458,0,131526,131526,131526
20160805 15:22:10.717270,0,131527,131527,131527
20160805 15:22:10.725082,0,131528,131528,131528
20160805 15:22:10.732895,0,131529,131529,131529
20160805 15:22:10.740708,0,131530,131530,131530
20160805 15:22:10.748520,0,131531,131531,131531
20160805 15:22:10.756332,0,131532,131532,131532
20160805 15:22:10.764145,0,131533,131533,131533
20160805 15:22:10.771958,0,131534,131534,131534
20160805 15:22:10.779770,0,131535,131535,131535
20160805 15:22:10.787582,0,131536,131536,131536
20160805 15:22:10.795395,0,131537,131537,131537
20160805 15:22:10.803208,0,131538,131538,131538
20160805 15:22:10.811020,0,131539,131539,131539
20160805 15:22:10.818832,0,131540,131540,131540
20160805 15:22:10.826645,0,131541,131541,131541
20160805 15:22:10.834458,0,131542,131542,131542
20160805 15:22:10.842270,0,131543,131543,131543
20160805 15:22:10.850082,0,131544,131544,131544
20160805 15:22:10.857895,0,131545,131545,131545
20160805 15:22:10.865708,0,131546,131546,131546
20160805 15:22:10.873520,0,131547,131547,131547
20160805 15:22:10.881332,0,131548,131548,131548
20160805 15:22:10.889145,0,131549,131549,131549
20160805 15:22:10.896958,0,131550,131550,131550
20160805 15:22:10.904770,0,131551,131551,131551
