time,status,n_fib,n_fob,n_fsc,x,y,z
20160802 16:14:53.992296,0,1,0,1,0,0,0
20160802 16:14:54.000109,0,1,0,1,8816262,65670,9275021
20160802 16:14:54.007922,0,1,0,1,8882055,65671,9275277
20160802 16:14:54.015734,0,1,0,1,8947848,65672,9275533
20160802 16:14:54.023546,0,1,0,1,9013641,65673,9275789
20160802 16:14:54.031359,0,1,0,1,9079434,65674,9276045
20160802 16:14:54.039172,0,1,0,1,9145227,65675,9276301
20160802 16:14:54.046984,0,1,0,1,9211020,65676,9276557
20160802 16:14:54.054796,0,1,0,1,9276813,65677,9276813
20160802 16:14:54.062609,0,1,0,1,9342606,65678,9277069
20160802 16:14:54.070422,0,1,0,1,9408399,65679,9277325
20160802 16:14:54.078234,0,1,0,1,9474192,65680,9277581
20160802 16:14:54.086046,0,1,0,1,9539985,65681,9277837
20160802 16:14:54.093859,0,1,0,1,9605778,65682,9278093
20160802 16:14:54.101672,0,1,0,1,9671571,65683,9278349
20160802 16:14:54.109484,0,1,0,1,9737364,65684,9278605
20160802 16:14:54.117296,0,1,0,1,9803157,65685,9278861
20160802 16:14:54.125109,0,1,0,1,9868950,65686,9279117
20160802 16:14:54.132922,0,1,0,1,9934743,65687,9279373
20160802 16:14:54.140734,0,1,0,1,10000536,65688,9279629
20160802 16:14:54.148546,0,1,0,1,10066329,65689,9279885
20160802 16:14:54.156359,0,1,0,1,10132122,65690,9280141
20160802 16:14:54.164172,0,1,0,1,10197915,65691,9280397
20160802 16:14:54.171984,0,1,0,1,10263708,65692,9280653
20160802 16:14:54.179796,0,1,0,1,10329501,65693,9280909
20160802 16:14:54.187609,0,1,0,1,10395294,65694,9281165
20160802 16:14:54.195422,0,1,0,1,10461087,65695,9281421
20160802 16:14:54.203234,0,1,0,1,10526880,65696,9281677
20160802 16:14:54.211046,0,1,0,1,10592673,65697,9281933
20160802 16:14:54.218859,0,1,0,1,10658466,65698,9282189
20160802 16:14:54.226672,0,1,0,1,10724259,65699,9282445
20160802 16:14:54.234484,0,1,0,1,10790052,65700,9282701
20160802 16:14:54.242296,0,1,0,1,10855845,65701,9282957
20160802 16:14:54.250109,0,1,0,1,10921638,65702,9283213
20160802 16:14:54.257922,0,1,0,1,10987431,65703,9283469
20160802 16:14:54.265734,0,1,0,1,11053224,65704,9283725
20160802 16:14:54.273546,0,1,0,1,11119017,65705,9283981
20160802 16:14:54.281359,0,1,0,1,11184810,65706,9284237
20160802 16:14:54.289172,0,1,0,1,11250603,65707,9284493
20160802 16:14:54.296984,0,1,0,1,11316396,65708,9284749
20160802 16:14:54.304796,0,1,0,1,11382189,65709,9285005
20160802 16:14:54.312609,0,1,0,1,11447982,65710,9285261
20160802 16:14:54.320422,0,1,0,1,11513775,65711,9285517
20160802 16:14:54.328234,0,1,0,1,11579568,65712,9285773
20160802 16:14:54.336046,0,1,0,1,11645361,65713,9286029
20160802 16:14:54.343859,0,1,0,1,11711154,65714,9286285
20160802 16:14:54.351672,0,1,0,1,11776947,65715,9286541
20160802 16:14:54.359484,0,1,0,1,11842740,65716,9286797
20160802 16:14:54.367296,0,1,0,1,11908533,65717,9287053
20160802 16:14:54.375109,0,1,0,1,11974326,65718,9287309
20160802 16:14:54.382922,0,1,0,1,12040119,65719,9287565
20160802 16:14:54.390734,0,1,0,1,12105912,65720,9287821
20160802 16:14:54.398546,0,1,0,1,12171705,65721,9288077
20160802 16:14:54.406359,0,1,0,1,12237498,65722,9288333
20160802 16:14:54.414172,0,1,0,1,12303291,65723,9288589
20160802 16:14:54.421984,0,1,0,1,12369084,65724,9288845
20160802 16:14:54.429796,0,1,0,1,12434877,65725,9289101
20160802 16:14:54.437609,0,1,0,1,12500670,65726,9289357
20160802 16:14:54.445422,0,1,0,1,12566463,65727,9289613
20160802 16:14:54.453234,0,1,0,1,12632256,65728,9289869
20160802 16:14:54.461046,0,1,0,1,12698049,65729,9290125
20160802 16:14:54.468859,0,1,0,1,12763842,65730,9290381
20160802 16:14:54.476672,0,1,0,1,12829635,65731,9290637
20160802 16:14:54.484484,0,1,0,1,12895428,65732,9290893
20160802 16:14:54.492296,0,1,0,1,12961221,65733,9291149
20160802 16:14:54.500109,0,1,0,1,13027014,65734,9291405
20160802 16:14:54.507922,0,1,0,1,13092807,65735,9291661
20160802 16:14:54.515734,0,1,0,1,13158600,65736,9291917
20160802 16:14:54.523546,0,1,0,1,13224393,65737,9292173
20160802 16:14:54.531359,0,1,0,1,13290186,65738,9292429
