time,x,y,z
20160805 16:05:23.818357,0,42674,42674,42674
20160805 16:05:23.826169,0,42901,42901,42901
20160805 16:05:23.833982,0,42902,42902,42902
20160805 16:05:23.841795,0,42903,42903,42903
20160805 16:05:23.849607,0,42904,42904,42904
20160805 16:05:23.857419,0,42905,42905,42905
20160805 16:05:23.865232,0,42906,42906,42906
20160805 16:05:23.873045,0,42907,42907,42907
20160805 16:05:23.880857,0,42908,42908,42908
20160805 16:05:23.888669,0,42909,42909,42909
20160805 16:05:23.896482,0,42910,42910,42910
20160805 16:05:23.904295,0,42911,42911,42911
20160805 16:05:23.912107,0,42912,42912,42912
20160805 16:05:23.919919,0,42913,42913,42913
20160805 16:05:23.927732,0,42914,42914,42914
20160805 16:05:23.935545,0,42915,42915,42915
20160805 16:05:23.943357,0,42916,42916,42916
20160805 16:05:23.951169,0,42917,42917,42917
20160805 16:05:23.958982,0,42918,42918,42918
20160805 16:05:23.966795,0,42919,42919,42919
20160805 16:05:23.974607,0,42920,42920,42920
20160805 16:05:23.982419,0,42921,42921,42921
20160805 16:05:23.990232,0,42922,42922,42922
20160805 16:05:23.998045,0,42923,42923,42923
20160805 16:05:24.005857,0,42924,42924,42924
20160805 16:05:24.013669,0,42925,42925,42925
20160805 16:05:24.021482,0,42926,42926,42926
20160805 16:05:24.029295,0,42927,42927,42927
20160805 16:05:24.037107,0,42928,42928,42928
20160805 16:05:24.044919,0,42929,42929,42929
20160805 16:05:24.052732,0,42930,42930,42930
20160805 16:05:24.060545,0,42931,42931,42931
20160805 16:05:24.068357,0,42932,42932,42932
20160805 16:05:24.076169,0,42933,42933,42933
20160805 16:05:24.083982,0,42934,42934,42934
20160805 16:05:24.091795,0,42935,42935,42935
20160805 16:05:24.099607,0,42936,42936,42936
20160805 16:05:24.107419,0,42937,42937,42937
20160805 16:05:24.115232,0,42938,42938,42938
20160805 16:05:24.123045,0,42939,42939,42939
20160805 16:05:24.130857,0,42940,42940,42940
20160805 16:05:24.138669,0,42941,42941,42941
20160805 16:05:24.146482,0,42942,42942,42942
20160805 16:05:24.154295,0,42943,42943,42943
20160805 16:05:24.162107,0,42944,42944,42944
20160805 16:05:24.169919,0,42945,42945,42945
20160805 16:05:24.177732,0,42946,42946,42946
20160805 16:05:24.185545,0,42947,42947,42947
20160805 16:05:24.193357,0,42948,42948,42948
20160805 16:05:24.201169,0,42949,42949,42949
20160805 16:05:24.208982,0,42950,42950,42950
20160805 16:05:24.216795,0,42951,42951,42951
20160805 16:05:24.224607,0,42952,42952,42952
20160805 16:05:24.232419,0,42953,42953,42953
20160805 16:05:24.240232,0,42954,42954,42954
20160805 16:05:24.248045,0,42955,42955,42955
20160805 16:05:24.255857,0,42956,42956,42956
