time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:56:58.123510,0,192,14,192,14,206,206,5070,19
20160810 15:56:58.131323,0,192,15,192,15,207,207,5071,19
20160810 15:56:58.139136,0,208,0,208,0,208,208,5072,19
20160810 15:56:58.146948,0,208,1,208,1,209,209,5073,19
20160810 15:56:58.154760,0,208,2,208,2,210,210,5074,19
20160810 15:56:58.162573,0,208,3,208,3,211,211,5075,19
20160810 15:56:58.170386,0,208,4,208,4,212,212,5076,19
20160810 15:56:58.178198,0,208,5,208,5,213,213,5077,19
20160810 15:56:58.186010,0,208,6,208,6,214,214,5078,19
20160810 15:56:58.193823,0,208,7,208,7,215,215,5079,19
20160810 15:56:58.201636,0,208,8,208,8,216,216,5080,19
20160810 15:56:58.209448,0,208,9,208,9,217,217,5081,19
20160810 15:56:58.217260,0,208,10,208,10,218,218,5082,19
20160810 15:56:58.225073,0,208,11,208,11,219,219,5083,19
20160810 15:56:58.232886,0,208,12,208,12,220,220,5084,19
20160810 15:56:58.240698,0,208,13,208,13,221,221,5085,19
20160810 15:56:58.248510,0,208,14,208,14,222,222,5086,19
20160810 15:56:58.256323,0,208,15,208,15,223,223,5087,19
20160810 15:56:58.264136,0,224,0,224,0,224,224,5088,19
20160810 15:56:58.271948,0,224,1,224,1,225,225,5089,19
20160810 15:56:58.279760,0,224,2,224,2,226,226,5090,19
20160810 15:56:58.287573,0,224,3,224,3,227,227,5091,19
20160810 15:56:58.295386,0,224,4,224,4,228,228,5092,19
20160810 15:56:58.303198,0,224,5,224,5,229,229,5093,19
20160810 15:56:58.311010,0,224,6,224,6,230,230,5094,19
20160810 15:56:58.318823,0,224,7,224,7,231,231,5095,19
20160810 15:56:58.326636,0,224,8,224,8,232,232,5096,19
20160810 15:56:58.334448,0,224,9,224,9,233,233,5097,19
20160810 15:56:58.342260,0,224,10,224,10,234,234,5098,19
20160810 15:56:58.350073,0,224,11,224,11,235,235,5099,19
20160810 15:56:58.357886,0,224,12,224,12,236,236,5100,19
20160810 15:56:58.365698,0,224,13,224,13,237,237,5101,19
20160810 15:56:58.373510,0,224,14,224,14,238,238,5102,19
20160810 15:56:58.381323,0,224,15,224,15,239,239,5103,19
20160810 15:56:58.389136,0,240,0,240,0,240,240,5104,19
20160810 15:56:58.396948,0,240,1,240,1,241,241,5105,19
20160810 15:56:58.404760,0,240,2,240,2,242,242,5106,19
20160810 15:56:58.412573,0,240,3,240,3,243,243,5107,19
20160810 15:56:58.420386,0,240,4,240,4,244,244,5108,19
20160810 15:56:58.428198,0,240,5,240,5,245,245,5109,19
20160810 15:56:58.436010,0,240,6,240,6,246,246,5110,19
20160810 15:56:58.443823,0,240,7,240,7,247,247,5111,19
20160810 15:56:58.451636,0,240,8,240,8,248,248,5112,19
20160810 15:56:58.459448,0,240,9,240,9,249,249,5113,19
20160810 15:56:58.467260,0,240,10,240,10,250,250,5114,19
20160810 15:56:58.475073,0,240,11,240,11,251,251,5115,19
