time,status,x,y,z
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,7,
20160812 03:18:37.442888,142,0,0,0,168,
20160812 03:18:37.442888,142,0,0,0,1,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,7,
20160812 03:18:37.442888,142,0,0,0,173,
20160812 03:18:37.442888,142,0,0,0,1,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,7,
20160812 03:18:37.442888,142,0,0,0,178,
20160812 03:18:37.442888,142,0,0,0,1,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,7,
20160812 03:18:37.442888,142,0,0,0,183,
20160812 03:18:37.442888,142,0,0,0,1,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,7,
20160812 03:18:37.442888,142,0,0,0,188,
20160812 03:18:37.442888,142,0,0,0,1,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,3,
20160812 03:18:37.442888,142,0,0,0,0,
20160812 03:18:37.442888,142,0,0,0,0,
