time,status,n_fib,n_fob,n_fsc,x,y,z
20160803 23:37:41.772591,0,1,0,1,0,0,0
20160803 23:37:41.788217,0,1,0,1,0,0,0
20160803 23:37:41.803841,0,1,0,1,0,0,0
20160803 23:37:41.819467,0,1,0,1,0,0,0
20160803 23:37:41.835091,0,1,0,1,0,0,0
20160803 23:37:41.850717,0,1,0,1,0,0,0
20160803 23:37:41.866341,0,1,0,1,0,0,0
20160803 23:37:41.881967,0,1,0,1,0,0,0
20160803 23:37:41.897591,0,1,0,1,0,0,0
20160803 23:37:41.913217,0,1,0,1,0,0,0
20160803 23:37:41.928841,0,1,0,1,0,0,0
20160803 23:37:41.944467,0,1,0,1,0,0,0
20160803 23:37:41.960091,0,1,0,1,0,0,0
20160803 23:37:41.975717,0,1,0,1,0,0,0
20160803 23:37:41.991341,0,1,0,1,0,0,0
20160803 23:37:42.006967,0,1,0,1,0,0,0
20160803 23:37:42.022591,0,1,0,1,0,0,0
20160803 23:37:42.038217,0,1,0,1,0,0,0
20160803 23:37:42.053841,0,1,0,1,0,0,0
20160803 23:37:42.069467,0,1,0,1,0,0,0
20160803 23:37:42.085091,0,1,0,1,0,0,0
20160803 23:37:42.100717,0,1,0,1,0,0,0
20160803 23:37:42.116341,0,1,0,1,0,0,0
20160803 23:37:42.131967,0,1,0,1,0,0,0
20160803 23:37:42.147591,0,1,0,1,0,0,0
20160803 23:37:42.163217,0,1,0,1,0,0,0
20160803 23:37:42.178841,0,1,0,1,0,0,0
20160803 23:37:42.194467,0,1,0,1,0,0,0
20160803 23:37:42.210091,0,1,0,1,0,0,0
20160803 23:37:42.225717,0,1,0,1,0,0,0
20160803 23:37:42.241341,0,1,0,1,0,0,0
20160803 23:37:42.256967,0,1,0,1,0,0,0
20160803 23:37:42.272591,0,1,0,1,0,0,0
20160803 23:37:42.288217,0,1,0,1,0,0,0
20160803 23:37:42.303841,0,1,0,1,0,0,0
20160803 23:37:42.319467,0,1,0,1,0,0,0
20160803 23:37:42.335091,0,1,0,1,0,0,0
20160803 23:37:42.350717,0,1,0,1,0,0,0
20160803 23:37:42.366341,0,1,0,1,0,0,0
20160803 23:37:42.381967,0,1,0,1,0,0,0
20160803 23:37:42.397591,0,1,0,1,0,0,0
20160803 23:37:42.413217,0,1,0,1,0,0,0
20160803 23:37:42.428841,0,1,0,1,0,0,0
20160803 23:37:42.444467,0,1,0,1,0,0,0
20160803 23:37:42.460091,0,1,0,1,0,0,0
20160803 23:37:42.475717,0,1,0,1,0,0,0
20160803 23:37:42.491341,0,1,0,1,0,0,0
20160803 23:37:42.506967,0,1,0,1,0,0,0
20160803 23:37:42.522591,0,1,0,1,0,0,0
20160803 23:37:42.538217,0,1,0,1,0,0,0
20160803 23:37:42.553841,0,1,0,1,0,0,0
20160803 23:37:42.569467,0,1,0,1,0,0,0
20160803 23:37:42.585091,0,1,0,1,0,0,0
20160803 23:37:42.600717,0,1,0,1,0,0,0
20160803 23:37:42.616341,0,1,0,1,0,0,0
20160803 23:37:42.631967,0,1,0,1,0,0,0
20160803 23:37:42.647591,0,1,0,1,0,0,0
20160803 23:37:42.663217,0,1,0,1,0,0,0
20160803 23:37:42.678841,0,1,0,1,0,0,0
20160803 23:37:42.694467,0,1,0,1,0,0,0
20160803 23:37:42.710091,0,1,0,1,0,0,0
20160803 23:37:42.725717,0,1,0,1,0,0,0
20160803 23:37:42.741341,0,1,0,1,0,0,0
20160803 23:37:42.756967,0,1,0,1,0,0,0
20160803 23:37:42.772591,0,1,0,1,0,0,0
20160803 23:37:42.788217,0,1,0,1,0,0,0
20160803 23:37:42.803841,0,1,0,1,0,0,0
20160803 23:37:42.819467,0,1,0,1,0,0,0
20160803 23:37:42.835091,0,1,0,1,0,0,0
20160803 23:37:42.850717,0,1,0,1,0,0,0
20160803 23:37:42.866341,0,1,0,1,0,0,0
20160803 23:37:42.881967,0,1,0,1,0,0,0
20160803 23:37:42.897591,0,1,0,1,0,0,0
20160803 23:37:42.913217,0,1,0,1,0,0,0
20160803 23:37:42.928841,0,1,0,1,0,0,0
20160803 23:37:42.944467,0,1,0,1,0,0,0
20160803 23:37:42.960091,0,1,0,1,0,0,0
20160803 23:37:42.975717,0,1,0,1,0,0,0
20160803 23:37:42.991341,0,1,0,1,0,0,0
20160803 23:37:43.006967,0,1,0,1,0,0,0
20160803 23:37:43.022591,0,1,0,1,0,0,0
20160803 23:37:43.038217,0,1,0,1,0,0,0
20160803 23:37:43.053841,0,1,0,1,0,0,0
20160803 23:37:43.069467,0,1,0,1,0,0,0
20160803 23:37:43.085091,0,1,0,1,0,0,0
20160803 23:37:43.100717,0,1,0,1,0,0,0
20160803 23:37:43.116341,0,1,0,1,0,0,0
20160803 23:37:43.131967,0,1,0,1,0,0,0
20160803 23:37:43.147591,0,1,0,1,0,0,0
20160803 23:37:43.163217,0,1,0,1,0,0,0
20160803 23:37:43.178841,0,1,0,1,0,0,0
20160803 23:37:43.194467,0,1,0,1,0,0,0
20160803 23:37:43.210091,0,1,0,1,0,0,0
20160803 23:37:43.225717,0,1,0,1,0,0,0
20160803 23:37:43.241341,0,1,0,1,0,0,0
20160803 23:37:43.256967,0,1,0,1,0,0,0
20160803 23:37:43.272591,0,1,0,1,0,0,0
20160803 23:37:43.288217,0,1,0,1,0,0,0
20160803 23:37:43.303841,0,1,0,1,0,0,0
20160803 23:37:43.319467,0,1,0,1,0,0,0
20160803 23:37:43.335091,0,1,0,1,0,0,0
20160803 23:37:43.350717,0,1,0,1,0,0,0
20160803 23:37:43.366341,0,1,0,1,0,0,0
20160803 23:37:43.381967,0,1,0,1,0,0,0
20160803 23:37:43.397591,0,1,0,1,0,0,0
20160803 23:37:43.413217,0,1,0,1,0,0,0
20160803 23:37:43.428841,0,1,0,1,0,0,0
20160803 23:37:43.444467,0,1,0,1,0,0,0
20160803 23:37:43.460091,0,1,0,1,0,0,0
20160803 23:37:43.475717,0,1,0,1,0,0,0
20160803 23:37:43.491341,0,1,0,1,0,0,0
20160803 23:37:43.506967,0,1,0,1,0,0,0
20160803 23:37:43.522591,0,1,0,1,0,0,0
20160803 23:37:43.538217,0,1,0,1,0,0,0
20160803 23:37:43.553841,0,1,0,1,0,0,0
20160803 23:37:43.569467,0,1,0,1,0,0,0
20160803 23:37:43.585091,0,1,0,1,0,0,0
20160803 23:37:43.600717,0,1,0,1,0,0,0
20160803 23:37:43.616341,0,1,0,1,0,0,0
20160803 23:37:43.631967,0,1,0,1,0,0,0
20160803 23:37:43.647591,0,1,0,1,0,0,0
20160803 23:37:43.663217,0,1,0,1,0,0,0
20160803 23:37:43.678841,0,1,0,1,0,0,0
20160803 23:37:43.694467,0,1,0,1,0,0,0
20160803 23:37:43.710091,0,1,0,1,0,0,0
20160803 23:37:43.725717,0,1,0,1,0,0,0
20160803 23:37:43.741341,0,1,0,1,0,0,0
20160803 23:37:43.756967,0,1,0,1,0,0,0
20160803 23:37:43.772591,0,1,0,1,0,0,0
20160803 23:37:43.788217,0,1,0,1,0,0,0
20160803 23:37:43.803841,0,1,0,1,0,0,0
20160803 23:37:43.819467,0,1,0,1,0,0,0
20160803 23:37:43.835091,0,1,0,1,0,0,0
20160803 23:37:43.850717,0,1,0,1,0,0,0
20160803 23:37:43.866341,0,1,0,1,0,0,0
20160803 23:37:43.881967,0,1,0,1,0,0,0
20160803 23:37:43.897591,0,1,0,1,0,0,0
20160803 23:37:43.913217,0,1,0,1,0,0,0
20160803 23:37:43.928841,0,1,0,1,0,0,0
20160803 23:37:43.944467,0,1,0,1,0,0,0
20160803 23:37:43.960091,0,1,0,1,0,0,0
20160803 23:37:43.975717,0,1,0,1,0,0,0
20160803 23:37:43.991341,0,1,0,1,0,0,0
20160803 23:37:44.006967,0,1,0,1,0,0,0
20160803 23:37:44.022591,0,1,0,1,0,0,0
20160803 23:37:44.038217,0,1,0,1,0,0,0
20160803 23:37:44.053841,0,1,0,1,0,0,0
20160803 23:37:44.069467,0,1,0,1,0,0,0
20160803 23:37:44.085091,0,1,0,1,0,0,0
20160803 23:37:44.100717,0,1,0,1,0,0,0
20160803 23:37:44.116341,0,1,0,1,0,0,0
20160803 23:37:44.131967,0,1,0,1,0,0,0
20160803 23:37:44.147591,0,1,0,1,0,0,0
20160803 23:37:44.163217,0,1,0,1,0,0,0
20160803 23:37:44.178841,0,1,0,1,0,0,0
20160803 23:37:44.194467,0,1,0,1,0,0,0
20160803 23:37:44.210091,0,1,0,1,0,0,0
20160803 23:37:44.225717,0,1,0,1,0,0,0
20160803 23:37:44.241341,0,1,0,1,0,0,0
20160803 23:37:44.256967,0,1,0,1,0,0,0
20160803 23:37:44.272591,0,1,0,1,0,0,0
20160803 23:37:44.288217,0,1,0,1,0,0,0
20160803 23:37:44.303841,0,1,0,1,0,0,0
20160803 23:37:44.319467,0,1,0,1,0,0,0
20160803 23:37:44.335091,0,1,0,1,0,0,0
20160803 23:37:44.350717,0,1,0,1,0,0,0
20160803 23:37:44.366341,0,1,0,1,0,0,0
20160803 23:37:44.381967,0,1,0,1,0,0,0
20160803 23:37:44.397591,0,1,0,1,0,0,0
20160803 23:37:44.413217,0,1,0,1,0,0,0
20160803 23:37:44.428841,0,1,0,1,0,0,0
20160803 23:37:44.444467,0,1,0,1,0,0,0
20160803 23:37:44.460091,0,1,0,1,0,0,0
20160803 23:37:44.475717,0,1,0,1,0,0,0
20160803 23:37:44.491341,0,1,0,1,0,0,0
20160803 23:37:44.506967,0,1,0,1,0,0,0
20160803 23:37:44.522591,0,1,0,1,0,0,0
20160803 23:37:44.538217,0,1,0,1,0,0,0
20160803 23:37:44.553841,0,1,0,1,0,0,0
20160803 23:37:44.569467,0,1,0,1,0,0,0
20160803 23:37:44.585091,0,1,0,1,0,0,0
20160803 23:37:44.600717,0,1,0,1,0,0,0
20160803 23:37:44.616341,0,1,0,1,0,0,0
20160803 23:37:44.631967,0,1,0,1,0,0,0
20160803 23:37:44.647591,0,1,0,1,0,0,0
20160803 23:37:44.663217,0,1,0,1,0,0,0
20160803 23:37:44.678841,0,1,0,1,0,0,0
20160803 23:37:44.694467,0,1,0,1,0,0,0
20160803 23:37:44.710091,0,1,0,1,0,0,0
20160803 23:37:44.725717,0,1,0,1,0,0,0
20160803 23:37:44.741341,0,1,0,1,0,0,0
20160803 23:37:44.756967,0,1,0,1,0,0,0
20160803 23:37:44.772591,0,1,0,1,0,0,0
20160803 23:37:44.788217,0,1,0,1,0,0,0
20160803 23:37:44.803841,0,1,0,1,0,0,0
20160803 23:37:44.819467,0,1,0,1,0,0,0
20160803 23:37:44.835091,0,1,0,1,0,0,0
20160803 23:37:44.850717,0,1,0,1,0,0,0
20160803 23:37:44.866341,0,1,0,1,0,0,0
20160803 23:37:44.881967,0,1,0,1,0,0,0
20160803 23:37:44.897591,0,1,0,1,0,0,0
20160803 23:37:44.913217,0,1,0,1,0,0,0
20160803 23:37:44.928841,0,1,0,1,0,0,0
20160803 23:37:44.944467,0,1,0,1,0,0,0
20160803 23:37:44.960091,0,1,0,1,0,0,0
20160803 23:37:44.975717,0,1,0,1,0,0,0
20160803 23:37:44.991341,0,1,0,1,0,0,0
20160803 23:37:45.006967,0,1,0,1,0,0,0
20160803 23:37:45.022591,0,1,0,1,0,0,0
20160803 23:37:45.038217,0,1,0,1,0,0,0
20160803 23:37:45.053841,0,1,0,1,0,0,0
20160803 23:37:45.069467,0,1,0,1,0,0,0
20160803 23:37:45.085091,0,1,0,1,0,0,0
20160803 23:37:45.100717,0,1,0,1,0,0,0
20160803 23:37:45.116341,0,1,0,1,0,0,0
20160803 23:37:45.131967,0,1,0,1,0,0,0
