time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160802 16:16:23.658333,0,1,0,1,0,0,0,0,0,0,0,0
20160802 16:16:23.666146,0,1,0,1,0,1,176,9,97,1,3110142393,24832
20160802 16:16:23.673959,0,1,0,1,0,1,176,9,98,1,3110207929,25088
20160802 16:16:23.681771,0,1,0,1,0,1,176,9,99,1,3110273465,25344
20160802 16:16:23.689583,0,1,0,1,0,1,176,9,100,1,3110339001,25600
20160802 16:16:23.697396,0,1,0,1,0,1,176,9,101,1,3110404537,25856
20160802 16:16:23.705209,0,1,0,1,0,1,176,9,102,1,3110470073,26112
20160802 16:16:23.713021,0,1,0,1,0,1,176,9,103,1,3110535609,26368
20160802 16:16:23.720833,0,1,0,1,0,1,176,9,104,1,3110601145,26624
20160802 16:16:23.728646,0,1,0,1,0,1,176,9,105,1,3110666681,26880
20160802 16:16:23.736459,0,1,0,1,0,1,176,9,106,1,3110732217,27136
20160802 16:16:23.744271,0,1,0,1,0,1,176,9,107,1,3110797753,27392
20160802 16:16:23.752083,0,1,0,1,0,1,176,9,108,1,3110863289,27648
20160802 16:16:23.759896,0,1,0,1,0,1,176,9,109,1,3110928825,27904
20160802 16:16:23.767709,0,1,0,1,0,1,176,9,110,1,3110994361,28160
20160802 16:16:23.775521,0,1,0,1,0,1,176,9,111,1,3111059897,28416
20160802 16:16:23.783333,0,1,0,1,0,1,176,9,112,1,3111125433,28672
20160802 16:16:23.791146,0,1,0,1,0,1,176,9,113,1,3111190969,28928
20160802 16:16:23.798959,0,1,0,1,0,1,176,9,114,1,3111256505,29184
20160802 16:16:23.806771,0,1,0,1,0,1,176,9,115,1,3111322041,29440
20160802 16:16:23.814583,0,1,0,1,0,1,176,9,116,1,3111387577,29696
20160802 16:16:23.822396,0,1,0,1,0,1,176,9,117,1,3111453113,29952
