time,status,n_fib,n_fob,n_fsc,x,y,z
20160802 16:06:25.036951,0,1,0,1,0,0,0
20160802 16:06:25.044764,0,1,0,1,3815994,58,15547117
20160802 16:06:25.052577,0,1,0,1,3881787,59,15547373
20160802 16:06:25.060389,0,1,0,1,3947580,60,15547629
20160802 16:06:25.068201,0,1,0,1,4013373,61,15547885
20160802 16:06:25.076014,0,1,0,1,4079166,62,15548141
20160802 16:06:25.083827,0,1,0,1,4144959,63,15548397
20160802 16:06:25.091639,0,1,0,1,4210752,64,15548653
20160802 16:06:25.099451,0,1,0,1,4276545,65,15548909
20160802 16:06:25.107264,0,1,0,1,4342338,66,15549165
20160802 16:06:25.115077,0,1,0,1,4408131,67,15549421
20160802 16:06:25.122889,0,1,0,1,4473924,68,15549677
20160802 16:06:25.130701,0,1,0,1,4539717,69,15549933
20160802 16:06:25.138514,0,1,0,1,4605510,70,15550189
20160802 16:06:25.146327,0,1,0,1,4671303,71,15550445
20160802 16:06:25.154139,0,1,0,1,4737096,72,15550701
20160802 16:06:25.161951,0,1,0,1,4802889,73,15550957
20160802 16:06:25.169764,0,1,0,1,4868682,74,15551213
20160802 16:06:25.177577,0,1,0,1,4934475,75,15551469
20160802 16:06:25.185389,0,1,0,1,5000268,76,15551725
20160802 16:06:25.193201,0,1,0,1,5066061,77,15551981
20160802 16:06:25.201014,0,1,0,1,5131854,78,15552237
20160802 16:06:25.208827,0,1,0,1,5197647,79,15552493
20160802 16:06:25.216639,0,1,0,1,5263440,80,15552749
20160802 16:06:25.224451,0,1,0,1,5329233,81,15553005
20160802 16:06:25.232264,0,1,0,1,5395026,82,15553261
20160802 16:06:25.240077,0,1,0,1,5460819,83,15553517
20160802 16:06:25.247889,0,1,0,1,5526612,84,15553773
20160802 16:06:25.255701,0,1,0,1,5592405,85,15554029
20160802 16:06:25.263514,0,1,0,1,5658198,86,15554285
20160802 16:06:25.271327,0,1,0,1,5723991,87,15554541
20160802 16:06:25.279139,0,1,0,1,5789784,88,15554797
20160802 16:06:25.286951,0,1,0,1,5855577,89,15555053
20160802 16:06:25.294764,0,1,0,1,5921370,90,15555309
20160802 16:06:25.302577,0,1,0,1,5987163,91,15555565
