time,status,n_fib,n_fob,n_fsc,x,y,z
20160802 12:50:27.531524,0,1,0,1,8553090,130,33280
20160802 12:50:27.539336,0,1,0,1,8618883,131,33536
20160802 12:50:27.547149,0,1,0,1,8684676,132,33792
20160802 12:50:27.554962,0,1,0,1,8750469,133,34048
20160802 12:50:27.562774,0,1,0,1,8816262,134,34304
20160802 12:50:27.570586,0,1,0,1,8882055,135,34560
20160802 12:50:27.578399,0,1,0,1,8947848,136,34816
20160802 12:50:27.586212,0,1,0,1,9013641,137,35072
20160802 12:50:27.594024,0,1,0,1,9079434,138,35328
20160802 12:50:27.601836,0,1,0,1,9145227,139,35584
20160802 12:50:27.609649,0,1,0,1,9211020,140,35840
20160802 12:50:27.617462,0,1,0,1,9276813,141,36096
20160802 12:50:27.625274,0,1,0,1,9342606,142,36352
20160802 12:50:27.633086,0,1,0,1,9408399,143,36608
20160802 12:50:27.640899,0,1,0,1,9474192,144,36864
20160802 12:50:27.648712,0,1,0,1,9539985,145,37120
20160802 12:50:27.656524,0,1,0,1,9605778,146,37376
20160802 12:50:27.664336,0,1,0,1,9671571,147,37632
20160802 12:50:27.672149,0,1,0,1,9737364,148,37888
20160802 12:50:27.679962,0,1,0,1,9803157,149,38144
20160802 12:50:27.687774,0,1,0,1,9868950,150,38400
20160802 12:50:27.695586,0,1,0,1,9934743,151,38656
20160802 12:50:27.703399,0,1,0,1,10000536,152,38912
20160802 12:50:27.711212,0,1,0,1,10066329,153,39168
20160802 12:50:27.719024,0,1,0,1,10132122,154,39424
20160802 12:50:27.726836,0,1,0,1,10197915,155,39680
20160802 12:50:27.734649,0,1,0,1,10263708,156,39936
20160802 12:50:27.742462,0,1,0,1,10329501,157,40192
20160802 12:50:27.750274,0,1,0,1,10395294,158,40448
20160802 12:50:27.758086,0,1,0,1,10461087,159,40704
20160802 12:50:27.765899,0,1,0,1,10526880,160,40960
20160802 12:50:27.773712,0,1,0,1,10592673,161,41216
20160802 12:50:27.781524,0,1,0,1,10658466,162,41472
20160802 12:50:27.789336,0,1,0,1,10724259,163,41728
20160802 12:50:27.797149,0,1,0,1,10790052,164,41984
20160802 12:50:27.804962,0,1,0,1,10855845,165,42240
20160802 12:50:27.812774,0,1,0,1,10921638,166,42496
20160802 12:50:27.820586,0,1,0,1,10987431,167,42752
20160802 12:50:27.828399,0,1,0,1,11053224,168,43008
20160802 12:50:27.836212,0,1,0,1,11119017,169,43264
20160802 12:50:27.844024,0,1,0,1,11184810,170,43520
20160802 12:50:27.851836,0,1,0,1,11250603,171,43776
20160802 12:50:27.859649,0,1,0,1,11316396,172,44032
20160802 12:50:27.867462,0,1,0,1,11382189,173,44288
20160802 12:50:27.875274,0,1,0,1,11447982,174,44544
20160802 12:50:27.883086,0,1,0,1,11513775,175,44800
20160802 12:50:27.890899,0,1,0,1,11579568,176,45056
20160802 12:50:27.898712,0,1,0,1,11645361,177,45312
20160802 12:50:27.906524,0,1,0,1,11711154,178,45568
20160802 12:50:27.914336,0,1,0,1,11776947,179,45824
20160802 12:50:27.922149,0,1,0,1,11842740,180,46080
20160802 12:50:27.929962,0,1,0,1,11908533,181,46336
20160802 12:50:27.937774,0,1,0,1,11974326,182,46592
20160802 12:50:27.945586,0,1,0,1,12040119,183,46848
20160802 12:50:27.953399,0,1,0,1,12105912,184,47104
20160802 12:50:27.961212,0,1,0,1,12171705,185,47360
20160802 12:50:27.969024,0,1,0,1,12237498,186,47616
20160802 12:50:27.976836,0,1,0,1,12303291,187,47872
20160802 12:50:27.984649,0,1,0,1,12369084,188,48128
20160802 12:50:27.992462,0,1,0,1,12434877,189,48384
20160802 12:50:28.000274,0,1,0,1,12500670,190,48640
20160802 12:50:28.008086,0,1,0,1,12566463,191,48896
