time,x,y,z
20160805 14:58:12.887641,0,0,0,0
20160805 14:58:12.895454,0,89675,89675,4939265
20160805 14:58:12.903267,0,89676,89676,5004801
20160805 14:58:12.911079,0,89677,89677,5070337
20160805 14:58:12.918891,0,89678,89678,5135873
20160805 14:58:12.926704,0,89679,89679,5201409
20160805 14:58:12.934517,0,89680,89680,5266945
20160805 14:58:12.942329,0,89681,89681,5332481
20160805 14:58:12.950141,0,89682,89682,5398017
20160805 14:58:12.957954,0,89683,89683,5463553
20160805 14:58:12.965767,0,89684,89684,5529089
20160805 14:58:12.973579,0,89685,89685,5594625
20160805 14:58:12.981391,0,89686,89686,5660161
20160805 14:58:12.989204,0,89687,89687,5725697
20160805 14:58:12.997017,0,89688,89688,5791233
20160805 14:58:13.004829,0,89689,89689,5856769
20160805 14:58:13.012641,0,89690,89690,5922305
20160805 14:58:13.020454,0,89691,89691,5987841
20160805 14:58:13.028267,0,89692,89692,6053377
20160805 14:58:13.036079,0,89693,89693,6118913
20160805 14:58:13.043891,0,89694,89694,6184449
20160805 14:58:13.051704,0,89695,89695,6249985
20160805 14:58:13.059517,0,89696,89696,6315521
20160805 14:58:13.067329,0,89697,89697,6381057
20160805 14:58:13.075141,0,89698,89698,6446593
20160805 14:58:13.082954,0,89699,89699,6512129
20160805 14:58:13.090767,0,89700,89700,6577665
20160805 14:58:13.098579,0,89701,89701,6643201
20160805 14:58:13.106391,0,89702,89702,6708737
20160805 14:58:13.114204,0,89703,89703,6774273
20160805 14:58:13.122017,0,89704,89704,6839809
20160805 14:58:13.129829,0,89705,89705,6905345
20160805 14:58:13.137641,0,89706,89706,6970881
20160805 14:58:13.145454,0,89707,89707,7036417
20160805 14:58:13.153267,0,89708,89708,7101953
20160805 14:58:13.161079,0,89709,89709,7167489
20160805 14:58:13.168891,0,89710,89710,7233025
20160805 14:58:13.176704,0,89711,89711,7298561
20160805 14:58:13.184517,0,89712,89712,7364097
20160805 14:58:13.192329,0,89713,89713,7429633
20160805 14:58:13.200141,0,89714,89714,7495169
20160805 14:58:13.207954,0,89715,89715,7560705
20160805 14:58:13.215767,0,89716,89716,7626241
20160805 14:58:13.223579,0,89717,89717,7691777
20160805 14:58:13.231391,0,89718,89718,7757313
20160805 14:58:13.239204,0,89719,89719,7822849
20160805 14:58:13.247017,0,89720,89720,7888385
20160805 14:58:13.254829,0,89721,89721,7953921
20160805 14:58:13.262641,0,89722,89722,8019457
20160805 14:58:13.270454,0,89723,89723,8084993
20160805 14:58:13.278267,0,89724,89724,8150529
20160805 14:58:13.286079,0,89725,89725,8216065
20160805 14:58:13.293891,0,89726,89726,8281601
20160805 14:58:13.301704,0,89727,89727,8347137
20160805 14:58:13.309517,0,89728,89728,8412673
20160805 14:58:13.317329,0,89729,89729,8478209
20160805 14:58:13.325141,0,89730,89730,8543745
20160805 14:58:13.332954,0,89731,89731,8609281
20160805 14:58:13.340767,0,89732,89732,8674817
20160805 14:58:13.348579,0,89733,89733,8740353
20160805 14:58:13.356391,0,89734,89734,8805889
