time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160802 16:11:06.339991,0,1,0,1,0,0,0,0,0,0,0,0
20160802 16:11:06.347804,0,1,0,1,0,1,96,6,35,1,1713570150,8960
20160802 16:11:06.355617,0,1,0,1,0,1,96,6,36,1,1713635686,9216
20160802 16:11:06.363429,0,1,0,1,0,1,96,6,37,1,1713701222,9472
20160802 16:11:06.371241,0,1,0,1,0,1,96,6,38,1,1713766758,9728
20160802 16:11:06.379054,0,1,0,1,0,1,96,6,39,1,1713832294,9984
20160802 16:11:06.386867,0,1,0,1,0,1,96,6,40,1,1713897830,10240
20160802 16:11:06.394679,0,1,0,1,0,1,96,6,41,1,1713963366,10496
20160802 16:11:06.402491,0,1,0,1,0,1,96,6,42,1,1714028902,10752
20160802 16:11:06.410304,0,1,0,1,0,1,96,6,43,1,1714094438,11008
20160802 16:11:06.418117,0,1,0,1,0,1,96,6,44,1,1714159974,11264
20160802 16:11:06.425929,0,1,0,1,0,1,96,6,45,1,1714225510,11520
20160802 16:11:06.433741,0,1,0,1,0,1,96,6,46,1,1714291046,11776
20160802 16:11:06.441554,0,1,0,1,0,1,96,6,47,1,1714356582,12032
20160802 16:11:06.449367,0,1,0,1,0,1,96,6,48,1,1714422118,12288
20160802 16:11:06.457179,0,1,0,1,0,1,96,6,49,1,1714487654,12544
20160802 16:11:06.464991,0,1,0,1,0,1,96,6,50,1,1714553190,12800
20160802 16:11:06.472804,0,1,0,1,0,1,96,6,51,1,1714618726,13056
20160802 16:11:06.480617,0,1,0,1,0,1,96,6,52,1,1714684262,13312
20160802 16:11:06.488429,0,1,0,1,0,1,96,6,53,1,1714749798,13568
20160802 16:11:06.496241,0,1,0,1,0,1,96,6,54,1,1714815334,13824
20160802 16:11:06.504054,0,1,0,1,0,1,96,6,55,1,1714880870,14080
20160802 16:11:06.511867,0,1,0,1,0,1,96,6,56,1,1714946406,14336
20160802 16:11:06.519679,0,1,0,1,0,1,96,6,57,1,1715011942,14592
20160802 16:11:06.527491,0,1,0,1,0,1,96,6,58,1,1715077478,14848
20160802 16:11:06.535304,0,1,0,1,0,1,96,6,59,1,1715143014,15104
20160802 16:11:06.543117,0,1,0,1,0,1,96,6,60,1,1715208550,15360
20160802 16:11:06.550929,0,1,0,1,0,1,96,6,61,1,1715274086,15616
20160802 16:11:06.558741,0,1,0,1,0,1,96,6,62,1,1715339622,15872
20160802 16:11:06.566554,0,1,0,1,0,1,96,6,63,1,1715405158,16128
20160802 16:11:06.574367,0,1,0,1,0,1,96,6,64,1,1715470694,16384
20160802 16:11:06.582179,0,1,0,1,0,1,96,6,65,1,1715536230,16640
20160802 16:11:06.589991,0,1,0,1,0,1,96,6,66,1,1715601766,16896
20160802 16:11:06.597804,0,1,0,1,0,1,96,6,67,1,1715667302,17152
20160802 16:11:06.605617,0,1,0,1,0,1,96,6,68,1,1715732838,17408
20160802 16:11:06.613429,0,1,0,1,0,1,96,6,69,1,1715798374,17664
20160802 16:11:06.621241,0,1,0,1,0,1,96,6,70,1,1715863910,17920
20160802 16:11:06.629054,0,1,0,1,0,1,96,6,71,1,1715929446,18176
20160802 16:11:06.636867,0,1,0,1,0,1,96,6,72,1,1715994982,18432
20160802 16:11:06.644679,0,1,0,1,0,1,96,6,73,1,1716060518,18688
20160802 16:11:06.652491,0,1,0,1,0,1,96,6,74,1,1716126054,18944
20160802 16:11:06.660304,0,1,0,1,0,1,96,6,75,1,1716191590,19200
20160802 16:11:06.668117,0,1,0,1,0,1,96,6,76,1,1716257126,19456
20160802 16:11:06.675929,0,1,0,1,0,1,96,6,77,1,1716322662,19712
20160802 16:11:06.683741,0,1,0,1,0,1,96,6,78,1,1716388198,19968
20160802 16:11:06.691554,0,1,0,1,0,1,96,6,79,1,1716453734,20224
20160802 16:11:06.699367,0,1,0,1,0,1,96,6,80,1,1716519270,20480
20160802 16:11:06.707179,0,1,0,1,0,1,96,6,81,1,1716584806,20736
20160802 16:11:06.714991,0,1,0,1,0,1,96,6,82,1,1716650342,20992
20160802 16:11:06.722804,0,1,0,1,0,1,96,6,83,1,1716715878,21248
20160802 16:11:06.730617,0,1,0,1,0,1,96,6,84,1,1716781414,21504
20160802 16:11:06.738429,0,1,0,1,0,1,96,6,85,1,1716846950,21760
20160802 16:11:06.746241,0,1,0,1,0,1,96,6,86,1,1716912486,22016
20160802 16:11:06.754054,0,1,0,1,0,1,96,6,87,1,1716978022,22272
20160802 16:11:06.761867,0,1,0,1,0,1,96,6,88,1,1717043558,22528
20160802 16:11:06.769679,0,1,0,1,0,1,96,6,89,1,1717109094,22784
20160802 16:11:06.777491,0,1,0,1,0,1,96,6,90,1,1717174630,23040
20160802 16:11:06.785304,0,1,0,1,0,1,96,6,91,1,1717240166,23296
20160802 16:11:06.793117,0,1,0,1,0,1,96,6,92,1,1717305702,23552
20160802 16:11:06.800929,0,1,0,1,0,1,96,6,93,1,1717371238,23808
20160802 16:11:06.808741,0,1,0,1,0,1,96,6,94,1,1717436774,24064
20160802 16:11:06.816554,0,1,0,1,0,1,96,6,95,1,1717502310,24320
20160802 16:11:06.824367,0,1,0,1,0,1,96,6,96,1,1717567846,24576
20160802 16:11:06.832179,0,1,0,1,0,1,96,6,97,1,1717633382,24832
20160802 16:11:06.839991,0,1,0,1,0,1,96,6,98,1,1717698918,25088
20160802 16:11:06.847804,0,1,0,1,0,1,96,6,99,1,1717764454,25344
20160802 16:11:06.855617,0,1,0,1,0,1,96,6,100,1,1717829990,25600
20160802 16:11:06.863429,0,1,0,1,0,1,96,6,101,1,1717895526,25856
20160802 16:11:06.871241,0,1,0,1,0,1,96,6,102,1,1717961062,26112
20160802 16:11:06.879054,0,1,0,1,0,1,96,6,103,1,1718026598,26368
20160802 16:11:06.886867,0,1,0,1,0,1,96,6,104,1,1718092134,26624
20160802 16:11:06.894679,0,1,0,1,0,1,96,6,105,1,1718157670,26880
20160802 16:11:06.902491,0,1,0,1,0,1,96,6,106,1,1718223206,27136
20160802 16:11:06.910304,0,1,0,1,0,1,96,6,107,1,1718288742,27392
20160802 16:11:06.918117,0,1,0,1,0,1,96,6,108,1,1718354278,27648
20160802 16:11:06.925929,0,1,0,1,0,1,96,6,109,1,1718419814,27904
20160802 16:11:06.933741,0,1,0,1,0,1,96,6,110,1,1718485350,28160
20160802 16:11:06.941554,0,1,0,1,0,1,96,6,111,1,1718550886,28416
