time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160803 17:58:04.041999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.049812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.057625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.065437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.073249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.081062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.088875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.096687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.104499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.112312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.120125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.127937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.135749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.143562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.151375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.159187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.166999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.174812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.182625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.190437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.198249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.206062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.213875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.221687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.229499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.237312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.245125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.252937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.260749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.268562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.276375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.284187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.291999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.299812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.307625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.315437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.323249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.331062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.338875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.346687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.354499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.362312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.370125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.377937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.385749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.393562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.401375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.409187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.416999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.424812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.432625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.440437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.448249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.456062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.463875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.471687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.479499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.487312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.495125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.502937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.510749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.518562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.526375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.534187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.541999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.549812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.557625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.565437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.573249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.581062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.588875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.596687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.604499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.612312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.620125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.627937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.635749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.643562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.651375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.659187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.666999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.674812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.682625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.690437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.698249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.706062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.713875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.721687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.729499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.737312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.745125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.752937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.760749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.768562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.776375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.784187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.791999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.799812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.807625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.815437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.823249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.831062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.838875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.846687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.854499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.862312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.870125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.877937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.885749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.893562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.901375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.909187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.916999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.924812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.932625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.940437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.948249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.956062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.963875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.971687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.979499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.987312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:04.995125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.002937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.010749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.018562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.026375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.034187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.041999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.049812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.057625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.065437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.073249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.081062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.088875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.096687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.104499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.112312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.120125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.127937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.135749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.143562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.151375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.159187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.166999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.174812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.182625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.190437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.198249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.206062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.213875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.221687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.229499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.237312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.245125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.252937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.260749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.268562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.276375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.284187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.291999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.299812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.307625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.315437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.323249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.331062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.338875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.346687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.354499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.362312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.370125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.377937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.385749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.393562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.401375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.409187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.416999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.424812,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.432625,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.440437,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.448249,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.456062,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.463875,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.471687,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.479499,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.487312,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.495125,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.502937,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.510749,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.518562,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.526375,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.534187,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.541999,0,1,0,1,0,0,0,0,0,0,0,0
20160803 17:58:05.549812,0,1,0,1,0,0,0,0,0,0,0,0
