time,x,y,z
20160805 15:58:15.656945,0,0,0,0
20160805 15:58:15.664758,0,0,0,0
20160805 15:58:15.672571,0,0,0,0
20160805 15:58:15.680383,0,0,0,0
20160805 15:58:15.688195,0,0,0,0
20160805 15:58:15.696008,0,0,0,0
20160805 15:58:15.703821,0,0,0,0
20160805 15:58:15.711633,0,0,0,0
20160805 15:58:15.719445,0,0,0,0
20160805 15:58:15.727258,0,0,0,0
20160805 15:58:15.735071,0,0,0,0
20160805 15:58:15.742883,0,0,0,0
20160805 15:58:15.750695,0,0,0,0
20160805 15:58:15.758508,0,0,0,0
20160805 15:58:15.766321,0,0,0,0
20160805 15:58:15.774133,0,0,0,0
20160805 15:58:15.781945,0,0,0,0
20160805 15:58:15.789758,0,0,0,0
20160805 15:58:15.797571,0,0,0,0
20160805 15:58:15.805383,0,0,0,0
20160805 15:58:15.813195,0,0,0,0
20160805 15:58:15.821008,0,0,0,0
20160805 15:58:15.828821,0,0,0,0
20160805 15:58:15.836633,0,0,0,0
20160805 15:58:15.844445,0,0,0,0
20160805 15:58:15.852258,0,0,0,0
20160805 15:58:15.860071,0,0,0,0
20160805 15:58:15.867883,0,0,0,0
20160805 15:58:15.875695,0,0,0,0
20160805 15:58:15.883508,0,0,0,0
20160805 15:58:15.891321,0,0,0,0
20160805 15:58:15.899133,0,0,0,0
20160805 15:58:15.906945,0,0,0,0
20160805 15:58:15.914758,0,0,0,0
20160805 15:58:15.922571,0,0,0,0
20160805 15:58:15.930383,0,0,0,0
20160805 15:58:15.938195,0,0,0,0
20160805 15:58:15.946008,0,0,0,0
20160805 15:58:15.953821,0,0,0,0
20160805 15:58:15.961633,0,0,0,0
20160805 15:58:15.969445,0,0,0,0
20160805 15:58:15.977258,0,0,0,0
20160805 15:58:15.985071,0,0,0,0
20160805 15:58:15.992883,0,0,0,0
20160805 15:58:16.000695,0,0,0,0
20160805 15:58:16.008508,0,0,0,0
20160805 15:58:16.016321,0,0,0,0
20160805 15:58:16.024133,0,0,0,0
20160805 15:58:16.031945,0,0,0,0
20160805 15:58:16.039758,0,0,0,0
20160805 15:58:16.047571,0,0,0,0
20160805 15:58:16.055383,0,0,0,0
20160805 15:58:16.063195,0,0,0,0
20160805 15:58:16.071008,0,0,0,0
20160805 15:58:16.078821,0,0,0,0
20160805 15:58:16.086633,0,0,0,0
20160805 15:58:16.094445,0,0,0,0
20160805 15:58:16.102258,0,0,0,0
20160805 15:58:16.110071,0,0,0,0
20160805 15:58:16.117883,0,0,0,0
20160805 15:58:16.125695,0,0,0,0
20160805 15:58:16.133508,0,0,0,0
20160805 15:58:16.141321,0,0,0,0
20160805 15:58:16.149133,0,0,0,0
20160805 15:58:16.156945,0,0,0,0
20160805 15:58:16.164758,0,0,0,0
20160805 15:58:16.172571,0,0,0,0
20160805 15:58:16.180383,0,0,0,0
20160805 15:58:16.188195,0,0,0,0
20160805 15:58:16.196008,0,0,0,0
20160805 15:58:16.203821,0,0,0,0
20160805 15:58:16.211633,0,0,0,0
20160805 15:58:16.219445,0,0,0,0
20160805 15:58:16.227258,0,0,0,0
20160805 15:58:16.235071,0,0,0,0
20160805 15:58:16.242883,0,0,0,0
20160805 15:58:16.250695,0,0,0,0
20160805 15:58:16.258508,0,0,0,0
20160805 15:58:16.266321,0,0,0,0
20160805 15:58:16.274133,0,0,0,0
20160805 15:58:16.281945,0,0,0,0
20160805 15:58:16.289758,0,0,0,0
20160805 15:58:16.297571,0,0,0,0
20160805 15:58:16.305383,0,0,0,0
20160805 15:58:16.313195,0,0,0,0
20160805 15:58:16.321008,0,0,0,0
20160805 15:58:16.328821,0,0,0,0
20160805 15:58:16.336633,0,0,0,0
20160805 15:58:16.344445,0,0,0,0
20160805 15:58:16.352258,0,0,0,0
20160805 15:58:16.360071,0,0,0,0
20160805 15:58:16.367883,0,0,0,0
20160805 15:58:16.375695,0,0,0,0
20160805 15:58:16.383508,0,0,0,0
20160805 15:58:16.391321,0,0,0,0
20160805 15:58:16.399133,0,0,0,0
20160805 15:58:16.406945,0,0,0,0
20160805 15:58:16.414758,0,0,0,0
20160805 15:58:16.422571,0,0,0,0
20160805 15:58:16.430383,0,0,0,0
20160805 15:58:16.438195,0,0,0,0
20160805 15:58:16.446008,0,0,0,0
20160805 15:58:16.453821,0,0,0,0
20160805 15:58:16.461633,0,0,0,0
20160805 15:58:16.469445,0,0,0,0
20160805 15:58:16.477258,0,0,0,0
20160805 15:58:16.485071,0,0,0,0
20160805 15:58:16.492883,0,0,0,0
20160805 15:58:16.500695,0,0,0,0
20160805 15:58:16.508508,0,0,0,0
20160805 15:58:16.516321,0,0,0,0
20160805 15:58:16.524133,0,0,0,0
20160805 15:58:16.531945,0,0,0,0
20160805 15:58:16.539758,0,0,0,0
20160805 15:58:16.547571,0,0,0,0
20160805 15:58:16.555383,0,0,0,0
20160805 15:58:16.563195,0,0,0,0
20160805 15:58:16.571008,0,0,0,0
20160805 15:58:16.578821,0,0,0,0
20160805 15:58:16.586633,0,0,0,0
20160805 15:58:16.594445,0,0,0,0
20160805 15:58:16.602258,0,0,0,0
20160805 15:58:16.610071,0,0,0,0
20160805 15:58:16.617883,0,0,0,0
20160805 15:58:16.625695,0,0,0,0
20160805 15:58:16.633508,0,0,0,0
20160805 15:58:16.641321,0,0,0,0
20160805 15:58:16.649133,0,0,0,0
20160805 15:58:16.656945,0,0,0,0
20160805 15:58:16.664758,0,0,0,0
20160805 15:58:16.672571,0,0,0,0
20160805 15:58:16.680383,0,0,0,0
20160805 15:58:16.688195,0,0,0,0
20160805 15:58:16.696008,0,0,0,0
20160805 15:58:16.703821,0,0,0,0
20160805 15:58:16.711633,0,0,0,0
20160805 15:58:16.719445,0,0,0,0
20160805 15:58:16.727258,0,0,0,0
20160805 15:58:16.735071,0,0,0,0
20160805 15:58:16.742883,0,0,0,0
20160805 15:58:16.750695,0,0,0,0
20160805 15:58:16.758508,0,0,0,0
20160805 15:58:16.766321,0,0,0,0
20160805 15:58:16.774133,0,0,0,0
20160805 15:58:16.781945,0,0,0,0
20160805 15:58:16.789758,0,0,0,0
20160805 15:58:16.797571,0,0,0,0
20160805 15:58:16.805383,0,0,0,0
20160805 15:58:16.813195,0,0,0,0
20160805 15:58:16.821008,0,0,0,0
20160805 15:58:16.828821,0,0,0,0
20160805 15:58:16.836633,0,0,0,0
20160805 15:58:16.844445,0,0,0,0
20160805 15:58:16.852258,0,0,0,0
20160805 15:58:16.860071,0,0,0,0
20160805 15:58:16.867883,0,0,0,0
20160805 15:58:16.875695,0,0,0,0
20160805 15:58:16.883508,0,0,0,0
20160805 15:58:16.891321,0,0,0,0
20160805 15:58:16.899133,0,0,0,0
20160805 15:58:16.906945,0,0,0,0
20160805 15:58:16.914758,0,0,0,0
20160805 15:58:16.922571,0,0,0,0
20160805 15:58:16.930383,0,0,0,0
20160805 15:58:16.938195,0,0,0,0
20160805 15:58:16.946008,0,0,0,0
20160805 15:58:16.953821,0,0,0,0
20160805 15:58:16.961633,0,0,0,0
20160805 15:58:16.969445,0,0,0,0
20160805 15:58:16.977258,0,0,0,0
20160805 15:58:16.985071,0,0,0,0
20160805 15:58:16.992883,0,0,0,0
