time,x,y,z
20160805 14:59:13.133964,0,0,0,0
20160805 14:59:13.141777,0,94400,94400,94400
20160805 14:59:13.149590,0,94401,94401,94401
20160805 14:59:13.157402,0,94402,94402,94402
20160805 14:59:13.165214,0,94403,94403,94403
20160805 14:59:13.173027,0,94404,94404,94404
20160805 14:59:13.180840,0,94405,94405,94405
20160805 14:59:13.188652,0,94406,94406,94406
20160805 14:59:13.196464,0,94407,94407,94407
20160805 14:59:13.204277,0,94408,94408,94408
20160805 14:59:13.212090,0,94409,94409,94409
20160805 14:59:13.219902,0,94410,94410,94410
20160805 14:59:13.227714,0,94411,94411,94411
20160805 14:59:13.235527,0,94412,94412,94412
20160805 14:59:13.243340,0,94413,94413,94413
20160805 14:59:13.251152,0,94414,94414,94414
20160805 14:59:13.258964,0,94415,94415,94415
20160805 14:59:13.266777,0,94416,94416,94416
20160805 14:59:13.274590,0,94417,94417,94417
20160805 14:59:13.282402,0,94418,94418,94418
20160805 14:59:13.290214,0,94419,94419,94419
20160805 14:59:13.298027,0,94420,94420,94420
20160805 14:59:13.305840,0,94421,94421,94421
20160805 14:59:13.313652,0,94422,94422,94422
20160805 14:59:13.321464,0,94423,94423,94423
20160805 14:59:13.329277,0,94424,94424,94424
20160805 14:59:13.337090,0,94425,94425,94425
20160805 14:59:13.344902,0,94426,94426,94426
20160805 14:59:13.352714,0,94427,94427,94427
20160805 14:59:13.360527,0,94428,94428,94428
20160805 14:59:13.368340,0,94429,94429,94429
20160805 14:59:13.376152,0,94430,94430,94430
20160805 14:59:13.383964,0,94431,94431,94431
20160805 14:59:13.391777,0,94432,94432,94432
20160805 14:59:13.399590,0,94433,94433,94433
20160805 14:59:13.407402,0,94434,94434,94434
20160805 14:59:13.415214,0,94435,94435,94435
20160805 14:59:13.423027,0,94436,94436,94436
20160805 14:59:13.430840,0,94437,94437,94437
20160805 14:59:13.438652,0,94438,94438,94438
20160805 14:59:13.446464,0,94439,94439,94439
20160805 14:59:13.454277,0,94440,94440,94440
20160805 14:59:13.462090,0,94441,94441,94441
20160805 14:59:13.469902,0,94442,94442,94442
20160805 14:59:13.477714,0,94443,94443,94443
20160805 14:59:13.485527,0,94444,94444,94444
20160805 14:59:13.493340,0,94445,94445,94445
20160805 14:59:13.501152,0,94446,94446,94446
20160805 14:59:13.508964,0,94447,94447,94447
20160805 14:59:13.516777,0,94448,94448,94448
20160805 14:59:13.524590,0,94449,94449,94449
20160805 14:59:13.532402,0,94450,94450,94450
20160805 14:59:13.540214,0,94451,94451,94451
20160805 14:59:13.548027,0,94452,94452,94452
20160805 14:59:13.555840,0,94453,94453,94453
20160805 14:59:13.563652,0,94454,94454,94454
20160805 14:59:13.571464,0,94455,94455,94455
20160805 14:59:13.579277,0,94456,94456,94456
20160805 14:59:13.587090,0,94457,94457,94457
20160805 14:59:13.594902,0,94458,94458,94458
20160805 14:59:13.602714,0,94459,94459,94459
20160805 14:59:13.610527,0,94460,94460,94460
20160805 14:59:13.618340,0,94461,94461,94461
20160805 14:59:13.626152,0,94462,94462,94462
20160805 14:59:13.633964,0,94463,94463,94463
20160805 14:59:13.641777,0,94464,94464,94464
20160805 14:59:13.649590,0,94465,94465,94465
20160805 14:59:13.657402,0,94466,94466,94466
20160805 14:59:13.665214,0,94467,94467,94467
20160805 14:59:13.673027,0,94468,94468,94468
20160805 14:59:13.680840,0,94469,94469,94469
20160805 14:59:13.688652,0,94470,94470,94470
20160805 14:59:13.696464,0,94471,94471,94471
20160805 14:59:13.704277,0,94472,94472,94472
20160805 14:59:13.712090,0,94473,94473,94473
20160805 14:59:13.719902,0,94474,94474,94474
20160805 14:59:13.727714,0,94475,94475,94475
20160805 14:59:13.735527,0,94476,94476,94476
20160805 14:59:13.743340,0,94477,94477,94477
20160805 14:59:13.751152,0,94478,94478,94478
20160805 14:59:13.758964,0,94479,94479,94479
20160805 14:59:13.766777,0,94480,94480,94480
20160805 14:59:13.774590,0,94481,94481,94481
20160805 14:59:13.782402,0,94482,94482,94482
20160805 14:59:13.790214,0,94483,94483,94483
20160805 14:59:13.798027,0,94484,94484,94484
20160805 14:59:13.805840,0,94485,94485,94485
20160805 14:59:13.813652,0,94486,94486,94486
20160805 14:59:13.821464,0,94487,94487,94487
20160805 14:59:13.829277,0,94488,94488,94488
20160805 14:59:13.837090,0,94489,94489,94489
20160805 14:59:13.844902,0,94490,94490,94490
20160805 14:59:13.852714,0,94491,94491,94491
20160805 14:59:13.860527,0,94492,94492,94492
20160805 14:59:13.868340,0,94493,94493,94493
20160805 14:59:13.876152,0,94494,94494,94494
20160805 14:59:13.883964,0,94495,94495,94495
20160805 14:59:13.891777,0,94496,94496,94496
20160805 14:59:13.899590,0,94497,94497,94497
20160805 14:59:13.907402,0,94498,94498,94498
20160805 14:59:13.915214,0,94499,94499,94499
20160805 14:59:13.923027,0,94500,94500,94500
20160805 14:59:13.930840,0,94501,94501,94501
20160805 14:59:13.938652,0,94502,94502,94502
20160805 14:59:13.946464,0,94503,94503,94503
20160805 14:59:13.954277,0,94504,94504,94504
20160805 14:59:13.962090,0,94505,94505,94505
20160805 14:59:13.969902,0,94506,94506,94506
20160805 14:59:13.977714,0,94507,94507,94507
