time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160801 16:38:27.544656,0,2,0,2,0,1,0,0,1,9,3317696965,49161
20160801 16:38:27.544656,0,2,0,2,192,5,192,0,0,11,185273088,2811
20160818 08:25:39.544656,11,3,0,3,0,1,0,0,1,9,3317762501,49417
20160818 08:25:39.544656,11,3,0,3,192,5,192,1,0,12,202116096,2811
20160818 08:25:39.544656,11,3,0,3,0,12,0,10,251,0,4,256
