time,status,n_fib,n_fob,n_fsc,x,y,z
20160802 10:15:55.461032,0,1,0,1,0,0,0
20160802 10:15:55.468845,0,1,0,1,2829099,65579,4205376
20160802 10:15:55.476658,0,1,0,1,2894892,65580,4205632
20160802 10:15:55.484470,0,1,0,1,2960685,65581,4205888
20160802 10:15:55.492282,0,1,0,1,3026478,65582,4206144
20160802 10:15:55.500095,0,1,0,1,3092271,65583,4206400
20160802 10:15:55.507908,0,1,0,1,3158064,65584,4206656
20160802 10:15:55.515720,0,1,0,1,3223857,65585,4206912
20160802 10:15:55.523532,0,1,0,1,3289650,65586,4207168
20160802 10:15:55.531345,0,1,0,1,3355443,65587,4207424
20160802 10:15:55.539158,0,1,0,1,3421236,65588,4207680
20160802 10:15:55.546970,0,1,0,1,3487029,65589,4207936
20160802 10:15:55.554782,0,1,0,1,3552822,65590,4208192
20160802 10:15:55.562595,0,1,0,1,3618615,65591,4208448
20160802 10:15:55.570408,0,1,0,1,3684408,65592,4208704
20160802 10:15:55.578220,0,1,0,1,3750201,65593,4208960
20160802 10:15:55.586032,0,1,0,1,3815994,65594,4209216
20160802 10:15:55.593845,0,1,0,1,3881787,65595,4209472
20160802 10:15:55.601658,0,1,0,1,3947580,65596,4209728
20160802 10:15:55.609470,0,1,0,1,4013373,65597,4209984
20160802 10:15:55.617282,0,1,0,1,4079166,65598,4210240
20160802 10:15:55.625095,0,1,0,1,4144959,65599,4210496
20160802 10:15:55.632908,0,1,0,1,4210752,65600,4210752
20160802 10:15:55.640720,0,1,0,1,4276545,65601,4211008
20160802 10:15:55.648532,0,1,0,1,4342338,65602,4211264
20160802 10:15:55.656345,0,1,0,1,4408131,65603,4211520
20160802 10:15:55.664158,0,1,0,1,4473924,65604,4211776
20160802 10:15:55.671970,0,1,0,1,4539717,65605,4212032
20160802 10:15:55.679782,0,1,0,1,4605510,65606,4212288
20160802 10:15:55.687595,0,1,0,1,4671303,65607,4212544
20160802 10:15:55.695408,0,1,0,1,4737096,65608,4212800
20160802 10:15:55.703220,0,1,0,1,4802889,65609,4213056
20160802 10:15:55.711032,0,1,0,1,4868682,65610,4213312
20160802 10:15:55.718845,0,1,0,1,4934475,65611,4213568
20160802 10:15:55.726658,0,1,0,1,5000268,65612,4213824
20160802 10:15:55.734470,0,1,0,1,5066061,65613,4214080
20160802 10:15:55.742282,0,1,0,1,5131854,65614,4214336
20160802 10:15:55.750095,0,1,0,1,5197647,65615,4214592
20160802 10:15:55.757908,0,1,0,1,5263440,65616,4214848
20160802 10:15:55.765720,0,1,0,1,5329233,65617,4215104
20160802 10:15:55.773532,0,1,0,1,5395026,65618,4215360
20160802 10:15:55.781345,0,1,0,1,5460819,65619,4215616
20160802 10:15:55.789158,0,1,0,1,5526612,65620,4215872
20160802 10:15:55.796970,0,1,0,1,5592405,65621,4216128
20160802 10:15:55.804782,0,1,0,1,5658198,65622,4216384
20160802 10:15:55.812595,0,1,0,1,5723991,65623,4216640
20160802 10:15:55.820408,0,1,0,1,5789784,65624,4216896
20160802 10:15:55.828220,0,1,0,1,5855577,65625,4217152
20160802 10:15:55.836032,0,1,0,1,5921370,65626,4217408
20160802 10:15:55.843845,0,1,0,1,5987163,65627,4217664
20160802 10:15:55.851658,0,1,0,1,6052956,65628,4217920
20160802 10:15:55.859470,0,1,0,1,6118749,65629,4218176
20160802 10:15:55.867282,0,1,0,1,6184542,65630,4218432
20160802 10:15:55.875095,0,1,0,1,6250335,65631,4218688
20160802 10:15:55.882908,0,1,0,1,6316128,65632,4218944
20160802 10:15:55.890720,0,1,0,1,6381921,65633,4219200
20160802 10:15:55.898532,0,1,0,1,6447714,65634,4219456
20160802 10:15:55.906345,0,1,0,1,6513507,65635,4219712
20160802 10:15:55.914158,0,1,0,1,6579300,65636,4219968
20160802 10:15:55.921970,0,1,0,1,6645093,65637,4220224
20160802 10:15:55.929782,0,1,0,1,6710886,65638,4220480
20160802 10:15:55.937595,0,1,0,1,6776679,65639,4220736
20160802 10:15:55.945408,0,1,0,1,6842472,65640,4220992
20160802 10:15:55.953220,0,1,0,1,6908265,65641,4221248
20160802 10:15:55.961032,0,1,0,1,6974058,65642,4221504
20160802 10:15:55.968845,0,1,0,1,7039851,65643,4221760
20160802 10:15:55.976658,0,1,0,1,7105644,65644,4222016
20160802 10:15:55.984470,0,1,0,1,7171437,65645,4222272
20160802 10:15:55.992282,0,1,0,1,7237230,65646,4222528
20160802 10:15:56.000095,0,1,0,1,7303023,65647,4222784
20160802 10:15:56.007908,0,1,0,1,7368816,65648,4223040
20160802 10:15:56.015720,0,1,0,1,7434609,65649,4223296
20160802 10:15:56.023532,0,1,0,1,7500402,65650,4223552
20160802 10:15:56.031345,0,1,0,1,7566195,65651,4223808
20160802 10:15:56.039158,0,1,0,1,7631988,65652,4224064
20160802 10:15:56.046970,0,1,0,1,7697781,65653,4224320
20160802 10:15:56.054782,0,1,0,1,7763574,65654,4224576
20160802 10:15:56.062595,0,1,0,1,7829367,65655,4224832
20160802 10:15:56.070408,0,1,0,1,7895160,65656,4225088
20160802 10:15:56.078220,0,1,0,1,7960953,65657,4225344
20160802 10:15:56.086032,0,1,0,1,8026746,65658,4225600
20160802 10:15:56.093845,0,1,0,1,8092539,65659,4225856
20160802 10:15:56.101658,0,1,0,1,8158332,65660,4226112
20160802 10:15:56.109470,0,1,0,1,8224125,65661,4226368
20160802 10:15:56.117282,0,1,0,1,8289918,65662,4226624
20160802 10:15:56.125095,0,1,0,1,8355711,65663,4226880
20160802 10:15:56.132908,0,1,0,1,8421504,65664,4227136
20160802 10:15:56.140720,0,1,0,1,8487297,65665,4227392
20160802 10:15:56.148532,0,1,0,1,8553090,65666,4227648
20160802 10:15:56.156345,0,1,0,1,8618883,65667,4227904
20160802 10:15:56.164158,0,1,0,1,8684676,65668,4228160
20160802 10:15:56.171970,0,1,0,1,8750469,65669,4228416
20160802 10:15:56.179782,0,1,0,1,8816262,65670,4228672
20160802 10:15:56.187595,0,1,0,1,8882055,65671,4228928
20160802 10:15:56.195408,0,1,0,1,8947848,65672,4229184
20160802 10:15:56.203220,0,1,0,1,9013641,65673,4229440
20160802 10:15:56.211032,0,1,0,1,9079434,65674,4229696
20160802 10:15:56.218845,0,1,0,1,9145227,65675,4229952
20160802 10:15:56.226658,0,1,0,1,9211020,65676,4230208
20160802 10:15:56.234470,0,1,0,1,9276813,65677,4230464
20160802 10:15:56.242282,0,1,0,1,9342606,65678,4230720
20160802 10:15:56.250095,0,1,0,1,9408399,65679,4230976
20160802 10:15:56.257908,0,1,0,1,9474192,65680,4231232
20160802 10:15:56.265720,0,1,0,1,9539985,65681,4231488
20160802 10:15:56.273532,0,1,0,1,9605778,65682,4231744
20160802 10:15:56.281345,0,1,0,1,9671571,65683,4232000
20160802 10:15:56.289158,0,1,0,1,9737364,65684,4232256
20160802 10:15:56.296970,0,1,0,1,9803157,65685,4232512
20160802 10:15:56.304782,0,1,0,1,9868950,65686,4232768
20160802 10:15:56.312595,0,1,0,1,9934743,65687,4233024
20160802 10:15:56.320408,0,1,0,1,10000536,65688,4233280
20160802 10:15:56.328220,0,1,0,1,10066329,65689,4233536
20160802 10:15:56.336032,0,1,0,1,10132122,65690,4233792
20160802 10:15:56.343845,0,1,0,1,10197915,65691,4234048
20160802 10:15:56.351658,0,1,0,1,10263708,65692,4234304
20160802 10:15:56.359470,0,1,0,1,10329501,65693,4234560
20160802 10:15:56.367282,0,1,0,1,10395294,65694,4234816
20160802 10:15:56.375095,0,1,0,1,10461087,65695,4235072
20160802 10:15:56.382908,0,1,0,1,10526880,65696,4235328
20160802 10:15:56.390720,0,1,0,1,10592673,65697,4235584
20160802 10:15:56.398532,0,1,0,1,10658466,65698,4235840
20160802 10:15:56.406345,0,1,0,1,10724259,65699,4236096
20160802 10:15:56.414158,0,1,0,1,10790052,65700,4236352
20160802 10:15:56.421970,0,1,0,1,10855845,65701,4236608
20160802 10:15:56.429782,0,1,0,1,10921638,65702,4236864
20160802 10:15:56.437595,0,1,0,1,10987431,65703,4237120
20160802 10:15:56.445408,0,1,0,1,11053224,65704,4237376
20160802 10:15:56.453220,0,1,0,1,11119017,65705,4237632
20160802 10:15:56.461032,0,1,0,1,11184810,65706,4237888
20160802 10:15:56.468845,0,1,0,1,11250603,65707,4238144
