time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160801-120323,239,2,0,2,48,12,224,1,2,60,67,15597824
20160801-120324,230,63,2,63,0,0,0,0,0,2,3942711297,147424
20160801-120325,1,64,2,64,96,12,0,2,64,108,6184542,6160386
20160801-120325,2,64,2,64,192,3,0,0,181,181,3048538114,4240642
20160801-120326,0,64,2,64,224,13,0,2,64,237,37809408,14671839
20160801-120327,0,1,0,1,0,2,64,1,76,2,1095500353,4980798
20160801-120327,0,1,0,1,0,2,64,1,145,2,1100022337,9502851
