time,x,y,z
20160805 16:13:55.681510,0,89112,89112,89112
20160805 16:13:55.689322,0,89567,89567,89567
20160805 16:13:55.697135,0,89568,89568,89568
20160805 16:13:55.704948,0,89569,89569,89569
20160805 16:13:55.712760,0,89570,89570,89570
20160805 16:13:55.720572,0,89571,89571,89571
20160805 16:13:55.728385,0,89572,89572,89572
20160805 16:13:55.736198,0,89573,89573,89573
20160805 16:13:55.744010,0,89574,89574,89574
20160805 16:13:55.751822,0,89575,89575,89575
20160805 16:13:55.759635,0,89576,89576,89576
20160805 16:13:55.767448,0,89577,89577,89577
20160805 16:13:55.775260,0,89578,89578,89578
20160805 16:13:55.783072,0,89579,89579,89579
20160805 16:13:55.790885,0,89580,89580,89580
20160805 16:13:55.798698,0,89581,89581,89581
20160805 16:13:55.806510,0,89582,89582,89582
20160805 16:13:55.814322,0,89583,89583,89583
20160805 16:13:55.822135,0,89584,89584,89584
20160805 16:13:55.829948,0,89585,89585,89585
20160805 16:13:55.837760,0,89586,89586,89586
20160805 16:13:55.845572,0,89587,89587,89587
20160805 16:13:55.853385,0,89588,89588,89588
20160805 16:13:55.861198,0,89589,89589,89589
20160805 16:13:55.869010,0,89590,89590,89590
20160805 16:13:55.876822,0,89591,89591,89591
20160805 16:13:55.884635,0,89592,89592,89592
20160805 16:13:55.892448,0,89593,89593,89593
20160805 16:13:55.900260,0,89594,89594,89594
20160805 16:13:55.908072,0,89595,89595,89595
20160805 16:13:55.915885,0,89596,89596,89596
20160805 16:13:55.923698,0,89597,89597,89597
20160805 16:13:55.931510,0,89598,89598,89598
20160805 16:13:55.939322,0,89599,89599,89599
20160805 16:13:55.947135,0,89600,89600,89600
20160805 16:13:55.954948,0,89601,89601,89601
20160805 16:13:55.962760,0,89602,89602,89602
20160805 16:13:55.970572,0,89603,89603,89603
20160805 16:13:55.978385,0,89604,89604,89604
20160805 16:13:55.986198,0,89605,89605,89605
20160805 16:13:55.994010,0,89606,89606,89606
20160805 16:13:56.001822,0,89607,89607,89607
20160805 16:13:56.009635,0,89608,89608,89608
20160805 16:13:56.017448,0,89609,89609,89609
20160805 16:13:56.025260,0,89610,89610,89610
20160805 16:13:56.033072,0,89611,89611,89611
20160805 16:13:56.040885,0,89612,89612,89612
20160805 16:13:56.048698,0,89613,89613,89613
20160805 16:13:56.056510,0,89614,89614,89614
20160805 16:13:56.064322,0,89615,89615,89615
20160805 16:13:56.072135,0,89616,89616,89616
20160805 16:13:56.079948,0,89617,89617,89617
20160805 16:13:56.087760,0,89618,89618,89618
20160805 16:13:56.095572,0,89619,89619,89619
20160805 16:13:56.103385,0,89620,89620,89620
20160805 16:13:56.111198,0,89621,89621,89621
20160805 16:13:56.119010,0,89622,89622,89622
20160805 16:13:56.126822,0,89623,89623,89623
20160805 16:13:56.134635,0,89624,89624,89624
20160805 16:13:56.142448,0,89625,89625,89625
20160805 16:13:56.150260,0,89626,89626,89626
20160805 16:13:56.158072,0,89627,89627,89627
20160805 16:13:56.165885,0,89628,89628,89628
20160805 16:13:56.173698,0,89629,89629,89629
20160805 16:13:56.181510,0,89630,89630,89630
20160805 16:13:56.189322,0,89631,89631,89631
20160805 16:13:56.197135,0,89632,89632,89632
20160805 16:13:56.204948,0,89633,89633,89633
20160805 16:13:56.212760,0,89634,89634,89634
20160805 16:13:56.220572,0,89635,89635,89635
20160805 16:13:56.228385,0,89636,89636,89636
20160805 16:13:56.236198,0,89637,89637,89637
20160805 16:13:56.244010,0,89638,89638,89638
20160805 16:13:56.251822,0,89639,89639,89639
20160805 16:13:56.259635,0,89640,89640,89640
20160805 16:13:56.267448,0,89641,89641,89641
20160805 16:13:56.275260,0,89642,89642,89642
20160805 16:13:56.283072,0,89643,89643,89643
20160805 16:13:56.290885,0,89644,89644,89644
20160805 16:13:56.298698,0,89645,89645,89645
20160805 16:13:56.306510,0,89646,89646,89646
20160805 16:13:56.314322,0,89647,89647,89647
20160805 16:13:56.322135,0,89648,89648,89648
20160805 16:13:56.329948,0,89649,89649,89649
20160805 16:13:56.337760,0,89650,89650,89650
20160805 16:13:56.345572,0,89651,89651,89651
20160805 16:13:56.353385,0,89652,89652,89652
20160805 16:13:56.361198,0,89653,89653,89653
20160805 16:13:56.369010,0,89654,89654,89654
20160805 16:13:56.376822,0,89655,89655,89655
20160805 16:13:56.384635,0,89656,89656,89656
