time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160823 00:52:11.230494,0,80,6,0,0,14,86,939520,0
20160823 00:52:11.230494,0,0,0,0,8,48,1,14,22272
20160823 00:52:11.230494,0,0,14,80,7,0,14,1459617792,8
20160823 00:52:11.230494,0,48,1,0,1,0,0,940032,3672
20160823 00:52:11.230494,0,0,0,0,14,88,0,8,12801
20160823 00:52:11.230494,0,0,0,0,0,0,14,1493175897,14
20160823 00:52:11.230494,0,80,9,0,0,0,0,537345,0
20160823 00:52:11.230494,0,0,0,0,14,90,0,240779278,23040
20160823 00:52:11.230494,0,0,0,0,0,0,8,872480768,14
20160823 00:52:11.230494,0,80,11,0,0,14,91,940800,21504
20160823 00:52:11.230494,0,0,0,0,0,0,8,771817472,14
20160823 00:52:11.230494,0,80,5,0,0,14,85,939264,0
20160823 00:52:11.230494,0,0,0,0,8,47,1,14,22016
20160823 00:52:11.230494,0,0,14,80,6,0,14,1442840576,8
20160901 16:58:33.230494,0,96,9,0,1,0,0,954368,3728
20160901 16:58:33.230494,0,0,0,0,14,144,0,8,27137
20160901 16:58:33.230494,0,0,0,0,0,0,14,2432700049,14
20160901 16:58:33.230494,0,144,1,0,0,0,0,551681,0
20160901 16:58:33.230494,0,0,0,0,14,146,0,244449294,37376
20160901 16:58:33.230494,0,0,0,0,0,0,8,1812004864,14
20160901 16:58:33.230494,0,144,3,0,0,14,147,955136,0
20160901 16:58:33.230494,0,0,0,0,8,109,1,14,37888
20160823 09:49:47.230494,0,144,5,0,0,14,149,955648,0
20160823 09:49:47.230494,0,0,0,0,8,111,1,14,38400
20160823 09:49:47.230494,0,0,14,144,6,0,14,2516582400,8
20160823 09:49:47.230494,0,112,0,0,1,0,0,956160,3735
20160823 09:49:47.230494,0,0,0,0,14,151,0,8,28929
20160823 09:49:47.230494,0,0,0,0,0,0,14,2550140568,14
20160823 09:49:47.230494,0,144,8,0,0,0,0,553473,0
20160823 09:49:47.230494,0,0,0,0,14,153,0,244908046,39168
20160823 09:49:47.230494,0,0,0,0,0,0,8,1929445376,14
20160823 09:49:47.230494,0,144,10,0,0,14,154,956928,0
20160823 09:49:47.230494,0,0,0,0,8,116,1,14,39680
20160823 09:49:47.230494,0,0,14,144,11,0,14,2600468480,8
20160823 09:49:47.230494,0,112,5,0,1,0,0,957440,3740
20160823 09:49:47.230494,0,0,0,0,14,156,0,8,30209
20160810 14:55:18.457056,0,160,5,0,0,14,165,959744,0
20160810 14:55:18.457056,0,0,0,0,8,127,1,14,42496
20160810 14:55:18.457056,0,0,14,160,6,0,14,2785017856,8
20160810 14:55:18.457056,0,128,0,0,1,0,0,960256,3751
20160810 14:55:18.457056,0,0,0,0,14,167,0,8,33025
20160810 14:55:18.457056,0,0,0,0,0,0,14,2818576040,14
20160810 14:55:18.457056,0,160,8,0,0,0,0,557569,0
20160810 14:55:18.457056,0,0,0,0,14,169,0,245956622,43264
20160810 14:55:18.457056,0,0,0,0,0,0,8,2197880832,14
20160810 14:55:18.457056,0,160,10,0,0,14,170,961024,0
20160810 14:55:18.457056,0,0,0,0,8,132,1,14,43776
20160810 14:55:18.457056,0,0,14,160,11,0,14,2868903936,8
20160810 14:55:18.457056,0,128,5,0,1,0,0,961536,3756
20160810 14:55:18.457056,0,0,0,0,14,172,0,8,34305
20160810 14:55:18.457056,0,0,0,0,0,0,14,2902462125,14
20160810 14:55:18.457056,0,160,13,0,0,0,0,558849,0
20160810 14:55:18.457056,0,0,0,0,14,174,0,246284302,44544
20160810 14:55:18.457056,0,0,0,0,0,0,8,2281766912,14
20160810 14:55:18.457056,0,160,15,0,0,14,175,962304,0
20160810 14:55:18.457056,0,0,0,0,8,137,1,14,45056
20160810 14:55:18.457056,0,0,14,176,0,0,14,2952790016,8
20160810 14:55:18.457056,0,128,10,0,1,0,0,962816,3761
20160810 14:55:18.457056,0,0,0,0,14,177,0,8,35585
20160810 14:55:18.457056,0,0,0,0,0,0,14,2986348210,14
20160810 14:55:18.457056,0,176,2,0,0,0,0,560129,0
20160810 14:55:18.457056,0,0,0,0,14,179,0,246611982,45824
20160810 14:55:18.457056,0,0,0,0,0,0,8,2365652992,14
20160810 14:55:18.457056,0,176,4,0,0,14,180,963584,0
20160810 14:55:18.457056,0,0,0,0,8,142,1,14,46336
20160810 14:55:18.457056,0,0,14,176,5,0,14,3036676096,8
20160810 14:55:18.457056,0,128,15,0,1,0,0,964096,3766
20160810 14:55:18.457056,0,0,0,0,14,182,0,8,36865
20160810 14:55:18.457056,0,0,0,0,0,0,14,3070234295,14
