time,status,n_fib,n_fob,n_fsc,x,y,z,sensor range
20160806-020241,21,3,21,3,771,197376,70915,1
20160803-040343,4,4,4,4,262145,1377281,1376256,0
20160809-032521,5,5,21,5,70912,1,10551552,1
20160902-091503,1,1,163,1,257,1378305,1378305,21
20170109-080855,9,207,28,207,72911,72911,53199,207
20160803-051015,1,1,208,1,1888256,13684944,13631489,28
