time,status,n_fib,n_fob,n_fsc,x,y,z
20160801-114400,0,1,0,1,0,0,0
20160801-114400,0,1,0,1,89600,89600,24064
20160801-114400,0,1,0,1,155136,155136,24064
20160801-114400,0,1,0,1,220672,220672,24064
20160801-114400,0,1,0,1,286208,286208,24064
20160801-114400,0,1,0,1,351744,351744,24064
20160801-114400,0,1,0,1,417280,417280,24064
20160801-114400,0,1,0,1,482816,482816,24064
20160801-114400,0,1,0,1,548352,548352,24064
20160801-114400,0,1,0,1,613888,613888,24064
20160801-114400,0,1,0,1,679424,679424,24064
20160801-114400,0,1,0,1,744960,744960,24064
20160801-114400,0,1,0,1,810496,810496,24064
20160801-114400,0,1,0,1,876032,876032,24064
20160801-114400,0,1,0,1,941568,941568,24064
20160801-114400,0,1,0,1,1007104,1007104,24064
20160801-114400,0,1,0,1,1072640,1072640,24064
20160801-114400,0,1,0,1,1138176,1138176,24064
20160801-114400,0,1,0,1,1203712,1203712,24064
20160801-114400,0,1,0,1,1269248,1269248,24064
20160801-114400,0,1,0,1,1334784,1334784,24064
20160801-114400,0,1,0,1,1400320,1400320,24064
20160801-114400,0,1,0,1,1465856,1465856,24064
20160801-114400,0,1,0,1,1531392,1531392,24064
20160801-114400,0,1,0,1,1596928,1596928,24064
20160801-114400,0,1,0,1,1662464,1662464,24064
20160801-114400,0,1,0,1,1728000,1728000,24064
20160801-114400,0,1,0,1,1793536,1793536,24064
20160801-114400,0,1,0,1,1859072,1859072,24064
20160801-114400,0,1,0,1,1924608,1924608,24064
20160801-114400,0,1,0,1,1990144,1990144,24064
20160801-114400,0,1,0,1,2055680,2055680,24064
20160801-114400,0,1,0,1,2121216,2121216,24064
20160801-114400,0,1,0,1,2186752,2186752,24064
20160801-114400,0,1,0,1,2252288,2252288,24064
20160801-114400,0,1,0,1,2317824,2317824,24064
20160801-114400,0,1,0,1,2383360,2383360,24064
20160801-114400,0,1,0,1,2448896,2448896,24064
20160801-114400,0,1,0,1,2514432,2514432,24064
20160801-114400,0,1,0,1,2579968,2579968,24064
20160801-114400,0,1,0,1,2645504,2645504,24064
20160801-114400,0,1,0,1,2711040,2711040,24064
20160801-114400,0,1,0,1,2776576,2776576,24064
20160801-114400,0,1,0,1,2842112,2842112,24064
20160801-114400,0,1,0,1,2907648,2907648,24064
20160801-114400,0,1,0,1,2973184,2973184,24064
20160801-114400,0,1,0,1,3038720,3038720,24064
20160801-114400,0,1,0,1,3104256,3104256,24064
20160801-114400,0,1,0,1,3169792,3169792,24064
20160801-114400,0,1,0,1,3235328,3235328,24064
20160801-114400,0,1,0,1,3300864,3300864,24064
20160801-114400,0,1,0,1,3366400,3366400,24064
20160801-114400,0,1,0,1,3431936,3431936,24064
20160801-114400,0,1,0,1,3497472,3497472,24064
20160801-114400,0,1,0,1,3563008,3563008,24064
20160801-114400,0,1,0,1,3628544,3628544,24064
20160801-114400,0,1,0,1,3694080,3694080,24064
20160801-114400,0,1,0,1,3759616,3759616,24064
20160801-114400,0,1,0,1,3825152,3825152,24064
20160801-114400,0,1,0,1,3890688,3890688,24064
20160801-114400,0,1,0,1,3956224,3956224,24064
20160801-114400,0,1,0,1,4021760,4021760,24064
20160801-114400,0,1,0,1,4087296,4087296,24064
20160801-114400,0,1,0,1,4152832,4152832,24064
20160801-114400,0,1,0,1,4218368,4218368,24064
20160801-114400,0,1,0,1,4283904,4283904,24064
20160801-114400,0,1,0,1,4349440,4349440,24064
20160801-114400,0,1,0,1,4414976,4414976,24064
20160801-114400,0,1,0,1,4480512,4480512,24064
20160801-114400,0,1,0,1,4546048,4546048,24064
20160801-114400,0,1,0,1,4611584,4611584,24064
20160801-114400,0,1,0,1,4677120,4677120,24064
20160801-114400,0,1,0,1,4742656,4742656,24064
20160801-114400,0,1,0,1,4808192,4808192,24064
20160801-114400,0,1,0,1,4873728,4873728,24064
20160801-114400,0,1,0,1,4939264,4939264,24064
20160801-114400,0,1,0,1,5004800,5004800,24064
20160801-114400,0,1,0,1,5070336,5070336,24064
20160801-114400,0,1,0,1,5135872,5135872,24064
20160801-114401,0,1,0,1,5201408,5201408,24064
20160801-114401,0,1,0,1,5266944,5266944,24064
20160801-114401,0,1,0,1,5332480,5332480,24064
20160801-114401,0,1,0,1,5398016,5398016,24064
20160801-114401,0,1,0,1,5463552,5463552,24064
20160801-114401,0,1,0,1,5529088,5529088,24064
20160801-114401,0,1,0,1,5594624,5594624,24064
20160801-114401,0,1,0,1,5660160,5660160,24064
20160801-114401,0,1,0,1,5725696,5725696,24064
20160801-114401,0,1,0,1,5791232,5791232,24064
20160801-114401,0,1,0,1,5856768,5856768,24064
20160801-114401,0,1,0,1,5922304,5922304,24064
20160801-114401,0,1,0,1,5987840,5987840,24064
20160801-114401,0,1,0,1,6053376,6053376,24064
20160801-114401,0,1,0,1,6118912,6118912,24064
20160801-114401,0,1,0,1,6184448,6184448,24064
20160801-114401,0,1,0,1,6249984,6249984,24064
20160801-114401,0,1,0,1,6315520,6315520,24064
20160801-114401,0,1,0,1,6381056,6381056,24064
20160801-114401,0,1,0,1,6446592,6446592,24064
20160801-114401,0,1,0,1,6512128,6512128,24064
20160801-114401,0,1,0,1,6577664,6577664,24064
20160801-114401,0,1,0,1,6643200,6643200,24064
20160801-114401,0,1,0,1,6708736,6708736,24064
20160801-114401,0,1,0,1,6774272,6774272,24064
20160801-114401,0,1,0,1,6839808,6839808,24064
20160801-114401,0,1,0,1,6905344,6905344,24064
20160801-114401,0,1,0,1,6970880,6970880,24064
20160801-114401,0,1,0,1,7036416,7036416,24064
20160801-114401,0,1,0,1,7101952,7101952,24064
20160801-114401,0,1,0,1,7167488,7167488,24064
20160801-114401,0,1,0,1,7233024,7233024,24064
20160801-114401,0,1,0,1,7298560,7298560,24064
20160801-114401,0,1,0,1,7364096,7364096,24064
20160801-114401,0,1,0,1,7429632,7429632,24064
20160801-114401,0,1,0,1,7495168,7495168,24064
20160801-114401,0,1,0,1,7560704,7560704,24064
20160801-114401,0,1,0,1,7626240,7626240,24064
20160801-114401,0,1,0,1,7691776,7691776,24064
20160801-114401,0,1,0,1,7757312,7757312,24064
20160801-114401,0,1,0,1,7822848,7822848,24064
20160801-114401,0,1,0,1,7888384,7888384,24064
20160801-114401,0,1,0,1,7953920,7953920,24064
20160801-114401,0,1,0,1,8019456,8019456,24064
20160801-114401,0,1,0,1,8084992,8084992,24064
20160801-114401,0,1,0,1,8150528,8150528,24064
20160801-114401,0,1,0,1,8216064,8216064,24064
20160801-114401,0,1,0,1,8281600,8281600,24064
20160801-114401,0,1,0,1,8347136,8347136,24064
20160801-114401,0,1,0,1,8412672,8412672,24064
20160801-114401,0,1,0,1,8478208,8478208,24064
20160801-114401,0,1,0,1,8543744,8543744,24064
20160801-114401,0,1,0,1,8609280,8609280,24064
20160801-114401,0,1,0,1,8674816,8674816,24064
20160801-114401,0,1,0,1,8740352,8740352,24064
