time,status,n_fib,n_fob,n_fsc,x,y,z
20160804 04:49:40.442260,0,167,167,167,61793,65537,14935011,227,
20160804 04:49:40.442260,0,167,167,167,870,14877542,222947,3,
20160804 04:49:40.442260,0,167,167,167,6742787,6742784,0,241,
20160804 04:49:40.442260,0,167,167,167,6422784,124132,15000576,3,
20160804 04:49:40.442260,0,167,167,167,6743043,6685542,14943078,228,
20160804 04:49:40.442260,0,167,167,167,222948,0,61795,1,
20160804 04:49:40.442260,0,167,167,167,485,15066597,870,229,
20160804 04:49:40.442260,0,167,167,167,222723,6743299,6743299,102,
20160804 04:49:40.442260,0,167,167,167,15007744,241,6553856,1,
20160804 04:49:40.442260,0,167,167,167,15132390,15073283,6743555,102,
20160804 04:49:40.442260,0,167,167,167,222950,222950,222950,0,
20160804 04:49:40.442260,0,167,167,167,0,15820033,487,231,
20160804 04:49:40.442260,0,167,167,167,15197952,222951,222723,102,
20160804 04:49:40.442260,0,167,167,167,15139686,15139686,15138816,0,
20160804 04:49:40.442260,0,167,167,167,61798,65537,15263976,232,
20160804 04:49:40.442260,0,167,167,167,870,15205222,222952,3,
20160804 04:49:40.442260,0,167,167,167,6744067,6744064,0,241,
20160804 04:49:40.442260,0,167,167,167,6750464,125417,15329536,3,
20160804 04:49:40.442260,0,167,167,167,6744323,6685542,15270758,233,
20160804 04:49:40.442260,0,167,167,167,222953,0,61800,1,
20160804 04:49:40.442260,0,167,167,167,490,15395562,870,234,
20160804 04:49:40.442260,0,167,167,167,222723,6744579,6744579,102,
20160804 04:49:40.442260,0,167,167,167,15335424,241,6881536,1,
20160804 04:49:40.442260,0,167,167,167,15461355,15400963,6744835,102,
20160804 04:49:40.442260,0,167,167,167,222955,222955,222955,0,
20160804 04:49:40.442260,0,167,167,167,0,15821313,492,236,
20160804 04:49:40.442260,0,167,167,167,15526912,222956,222723,102,
20160804 04:49:40.442260,0,167,167,167,15467366,15467366,15466496,0,
20160804 04:49:40.442260,0,167,167,167,61803,65537,15592941,237,
20160804 04:49:40.442260,0,167,167,167,870,15532902,222957,3,
20160804 04:49:40.442260,0,167,167,167,6745347,6745344,0,241,
20160804 04:49:40.442260,0,167,167,167,7078144,126702,15658496,3,
20160804 04:49:40.442260,0,167,167,167,6745603,6685542,15598438,238,
20160804 04:49:40.442260,0,167,167,167,222958,0,61805,1,
20160804 04:49:40.442260,0,167,167,167,495,15724527,870,239,
20160804 04:49:40.442260,0,167,167,167,222723,6745859,6745859,102,
20160804 04:49:40.442260,0,167,167,167,15663104,241,7209216,1,
20160804 04:49:40.442260,0,167,167,167,15790320,15728643,6746115,102,
20160804 04:49:40.442260,0,167,167,167,222960,222960,222960,0,
20160804 04:49:40.442260,0,167,167,167,0,15822593,497,241,
20160804 04:49:40.442260,0,167,167,167,15855872,222961,222723,102,
20160804 04:49:40.442260,0,167,167,167,15795046,15795046,15794176,0,
20160804 04:49:40.442260,0,167,167,167,61808,65537,15921906,242,
20160804 04:49:40.442260,0,167,167,167,870,15860582,222962,3,
20160804 04:49:40.442260,0,167,167,167,6746627,6746624,0,241,
20160804 04:49:40.442260,0,167,167,167,7405824,127987,15987456,3,
20160804 04:49:40.442260,0,167,167,167,6746883,6685542,15926118,243,
20160804 04:49:40.442260,0,167,167,167,222963,0,61810,1,
20160804 04:49:40.442260,0,167,167,167,500,16053492,870,244,
20160804 04:49:40.442260,0,167,167,167,222723,6747139,6747139,102,
20160804 04:49:40.442260,0,167,167,167,15990784,241,7536896,1,
20160804 04:49:40.442260,0,167,167,167,16119285,16056323,6747395,102,
20160804 04:49:40.442260,0,167,167,167,222965,222965,222965,0,
20160804 04:49:40.442260,0,167,167,167,0,15823873,502,246,
20160804 04:49:40.442260,0,167,167,167,16184832,222966,222723,102,
20160804 04:49:40.442260,0,167,167,167,16122726,16122726,16121856,0,
20160804 04:49:40.442260,0,167,167,167,61813,65537,16250871,247,
20160804 04:49:40.442260,0,167,167,167,870,16188262,222967,3,
20160804 04:49:40.442260,0,167,167,167,6747907,6747904,0,241,
20160804 04:49:40.442260,0,167,167,167,7733504,129272,16316416,3,
20160804 04:49:40.442260,0,167,167,167,6748163,6685542,16253798,248,
20160804 04:49:40.442260,0,167,167,167,222968,0,61815,1,
20160804 04:49:40.442260,0,167,167,167,505,16382457,870,249,
20160804 04:49:40.442260,0,167,167,167,222723,6748419,6748419,102,
20160804 04:49:40.442260,0,167,167,167,16318464,241,7864576,1,
20160804 04:49:40.442260,0,167,167,167,16448250,16384003,6748675,102,
20160804 04:49:40.442260,0,167,167,167,222970,222970,222970,0,
20160804 04:49:40.442260,0,167,167,167,0,15825153,507,251,
20160804 04:49:40.442260,0,167,167,167,16513792,222971,222723,102,
20160804 04:49:40.442260,0,167,167,167,16450406,16450406,16449536,0,
20160804 04:49:40.442260,0,167,167,167,61818,65537,16579836,252,
20160804 04:49:40.442260,0,167,167,167,870,16515942,222972,3,
20160804 04:49:40.442260,0,167,167,167,6749187,6749184,0,241,
20160804 04:49:40.442260,0,167,167,167,8061184,130557,16645376,3,
20160804 04:49:40.442260,0,167,167,167,6749443,6685542,16581478,253,
