population mean,population standard deveation
80.94152046783626,89.49529778001414
49.41520467836257,79.1438571235888
46.18,57.18166182422116
33.014925373134325,36.88577476370245
65.59701492537313,75.514208918124
75.4776119402985,93.59120623819236
56.705882352941174,66.70766225620146
69.97058823529412,85.13746050792429
75.70588235294117,100.06864193747127
32.5735294117647,65.3181230540011
28.0,30.759503552943265
42.0,46.37411803505714
56.0,64.42437426937106
70.0,83.3424896930449
80.28985507246377,100.80471823826669
38.69565217391305,73.81301980398254
26.47142857142857,29.613804765889423
75.6,75.10858805755838
73.37142857142857,97.32733043571606
24.8,32.40678941209697
35.28169014084507,39.2469045544055
62.24390243902439,74.32558887198206
72.04225352112677,100.17947275047608
32.97572815533981,45.35619884709748
85.4,114.67693752450839
83.39160839160839,96.92592168910329
36.02097902097902,55.95074148100456
42.0,51.676650341098835
67.0,89.57957356451303
73.04347826086956,83.12940528907575
82.95862068965518,99.8374982340796
