time,x,y,z
20160810 03:41:14.885369,0,2908933,0,1306
20160810 03:41:14.885369,0,352,6250335,1324
20160810 03:41:14.885369,0,327680,5,1703936
20160810 03:41:14.885369,0,6316127,6225925,2908933
20160810 03:41:14.885369,0,0,334336,352
20160810 03:41:14.885369,0,6315776,339043,327680
20160810 03:41:14.885369,0,1307,1,6316128
20160810 03:41:14.885369,0,1324,6489344,0
20160810 03:41:14.885369,0,1769472,65632,6315776
20160810 03:41:14.885369,0,2908933,0,1307
20160810 03:41:14.885369,0,256,6381663,1324
20160810 03:41:14.885369,0,327680,5,1769472
20160810 03:41:14.885369,0,24929,6225925,2908933
20160810 03:41:14.885369,0,0,334592,256
20160810 03:41:14.885369,0,6381824,339043,327680
20160810 03:41:14.885369,0,1308,1,24929
20160810 03:41:14.885369,0,1324,6489344,0
20160810 03:41:14.885369,0,1835008,90721,6381824
20160810 03:41:14.885369,0,2908933,0,1308
20160810 03:41:14.885369,0,354,6447457,1324
20160810 03:41:14.885369,0,327680,5,1835008
20160810 03:41:14.885369,0,6447714,6356997,2908933
20160810 03:41:14.885369,0,0,335104,354
20160810 03:41:14.885369,0,6447360,339043,327680
20160810 03:41:14.885369,0,1309,1,25186
20160810 03:41:14.885369,0,1324,6489344,0
20160810 03:41:14.885369,0,1900544,65635,6447360
20160810 03:41:14.885369,0,2908933,0,1309
20160810 03:41:14.885369,0,256,6513505,1324
20160810 03:41:14.885369,0,327680,5,1900544
20160810 03:41:14.885369,0,25443,6488069,2908933
20160810 03:41:14.885369,0,0,335360,256
20160810 03:41:14.885369,0,6513408,339043,327680
20160810 03:41:14.885369,0,1310,1,6579043
20160810 03:41:14.885369,0,1324,6489344,0
20160810 03:41:14.885369,0,1966080,91236,6513408
20160810 03:41:14.885369,0,2908933,0,1310
20160810 03:41:14.885369,0,356,6579299,1324
20160810 03:41:14.885369,0,327680,5,2031616
20160810 03:41:14.885369,0,6579300,6488069,2908933
20160810 03:41:14.885369,0,0,335616,256
20160810 03:41:14.885369,0,6578944,339043,327680
20160810 03:41:14.885369,0,1311,1,25956
20160810 03:41:14.885369,0,1324,6489344,0
20160810 03:41:14.885369,0,2031616,65637,6644480
20160810 03:41:14.885369,0,2908933,0,1311
20160810 03:41:14.885369,0,256,6645093,1324
20160810 03:41:14.885369,0,327680,5,2097152
