time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160817 01:21:17.442888,0,64,2,0,0,4,66,279040,0
20160817 01:21:17.442888,0,0,0,0,8,41,1,4,17152
20160823 00:08:47.442888,0,64,4,0,0,4,68,279552,0
20160823 00:08:47.442888,0,0,0,0,8,43,1,4,17664
20160823 00:08:47.442888,0,0,4,64,5,0,4,1157627904,8
20160823 00:08:47.442888,0,32,12,0,1,0,0,280064,1094
20160817 02:29:33.442888,0,32,13,0,1,0,0,280320,1095
20160817 02:29:33.442888,0,0,0,0,4,71,0,8,11777
20160817 02:29:33.442888,0,0,0,0,0,0,4,1207960648,4
20160817 02:29:33.442888,0,64,8,0,0,0,0,536321,0
20160817 02:29:33.442888,0,0,0,0,4,73,0,71892996,18688
20160817 02:29:33.442888,0,0,0,0,0,0,8,805371904,4
20160817 02:29:33.442888,0,64,10,0,0,4,74,281088,0
20160817 02:29:33.442888,0,0,0,0,8,49,1,4,19200
20160823 01:17:03.442888,0,64,12,0,0,4,76,281600,0
20160823 01:17:03.442888,0,0,0,0,8,51,1,4,19712
20160823 01:17:03.442888,0,0,4,64,13,0,4,1291845632,8
20160823 01:17:03.442888,0,48,4,0,1,0,0,282112,1102
20160817 03:37:49.442888,0,48,5,0,1,0,0,282368,1103
20160817 03:37:49.442888,0,0,0,0,4,79,0,8,13825
20160817 03:37:49.442888,0,0,0,0,0,0,4,1342178384,4
20160817 03:37:49.442888,0,80,0,0,0,0,0,538369,0
20160817 03:37:49.442888,0,0,0,0,4,81,0,72417284,20736
20160817 03:37:49.442888,0,0,0,0,0,0,8,939589632,4
20160817 03:37:49.442888,0,80,2,0,0,4,82,283136,0
20160817 03:37:49.442888,0,0,0,0,8,57,1,4,21248
20160823 02:25:19.442888,0,80,4,0,0,4,84,283648,0
20160823 02:25:19.442888,0,0,0,0,8,59,1,4,21760
20160823 02:25:19.442888,0,0,4,80,5,0,4,1426063360,8
20160823 02:25:19.442888,0,48,12,0,1,0,0,284160,1110
20160817 04:46:05.442888,0,48,13,0,1,0,0,284416,1111
20160817 04:46:05.442888,0,0,0,0,4,87,0,8,15873
20160817 04:46:05.442888,0,0,0,0,0,0,4,1476396120,4
20160817 04:46:05.442888,0,80,8,0,0,0,0,540417,0
20160817 04:46:05.442888,0,0,0,0,4,89,0,72941572,22784
20160817 04:46:05.442888,0,0,0,0,0,0,8,1073807360,4
20160817 04:46:05.442888,0,80,10,0,0,4,90,285184,0
20160817 04:46:05.442888,0,0,0,0,8,65,1,4,23296
20160823 03:33:35.442888,0,80,12,0,0,4,92,285696,0
20160823 03:33:35.442888,0,0,0,0,8,67,1,4,23808
20160823 03:33:35.442888,0,0,4,80,13,0,4,1560281088,8
20160823 03:33:35.442888,0,64,4,0,1,0,0,286208,1118
20160817 05:54:21.442888,0,64,5,0,1,0,0,286464,1119
20160817 05:54:21.442888,0,0,0,0,4,95,0,8,17921
20160817 05:54:21.442888,0,0,0,0,0,0,4,1610613856,4
20160817 05:54:21.442888,0,96,0,0,0,0,0,542465,0
20160817 05:54:21.442888,0,0,0,0,4,97,0,73465860,24832
20160817 05:54:21.442888,0,0,0,0,0,0,8,1208025088,4
20160817 05:54:21.442888,0,96,2,0,0,4,98,287232,0
20160817 05:54:21.442888,0,0,0,0,8,73,1,4,25344
20160823 04:41:51.442888,0,96,4,0,0,4,100,287744,0
20160823 04:41:51.442888,0,0,0,0,8,75,1,4,25856
20160823 04:41:51.442888,0,0,4,96,5,0,4,1694498816,8
20160823 04:41:51.442888,0,64,12,0,1,0,0,288256,1126
20160817 07:02:37.442888,0,64,13,0,1,0,0,288512,1127
20160817 07:02:37.442888,0,0,0,0,4,103,0,8,19969
20160817 07:02:37.442888,0,0,0,0,0,0,4,1744831592,4
20160817 07:02:37.442888,0,96,8,0,0,0,0,544513,0
20160817 07:02:37.442888,0,0,0,0,4,105,0,73990148,26880
20160817 07:02:37.442888,0,0,0,0,0,0,8,1342242816,4
20160817 07:02:37.442888,0,96,10,0,0,4,106,289280,0
20160817 07:02:37.442888,0,0,0,0,8,81,1,4,27392
20160823 05:50:07.442888,0,96,12,0,0,4,108,289792,0
20160823 05:50:07.442888,0,0,0,0,8,83,1,4,27904
20160823 05:50:07.442888,0,0,4,96,13,0,4,1828716544,8
20160823 05:50:07.442888,0,80,4,0,1,0,0,290304,1134
20160817 08:10:53.442888,0,80,5,0,1,0,0,290560,1135
20160817 08:10:53.442888,0,0,0,0,4,111,0,8,22017
20160817 08:10:53.442888,0,0,0,0,0,0,4,1879049328,4
20160817 08:10:53.442888,0,112,0,0,0,0,0,546561,0
20160817 08:10:53.442888,0,0,0,0,4,113,0,74514436,28928
20160817 08:10:53.442888,0,0,0,0,0,0,8,1476460544,4
20160817 08:10:53.442888,0,112,2,0,0,4,114,291328,0
20160817 08:10:53.442888,0,0,0,0,8,89,1,4,29440
20160823 06:58:23.442888,0,112,4,0,0,4,116,291840,0
20160823 06:58:23.442888,0,0,0,0,8,91,1,4,29952
20160823 06:58:23.442888,0,0,4,112,5,0,4,1962934272,8
20160823 06:58:23.442888,0,80,12,0,1,0,0,292352,1142
20160817 09:19:09.442888,0,80,13,0,1,0,0,292608,1143
20160817 09:19:09.442888,0,0,0,0,4,119,0,8,24065
20160817 09:19:09.442888,0,0,0,0,0,0,4,2013267064,4
20160817 09:19:09.442888,0,112,8,0,0,0,0,548609,0
20160817 09:19:09.442888,0,0,0,0,4,121,0,75038724,30976
20160817 09:19:09.442888,0,0,0,0,0,0,8,1610678272,4
20160817 09:19:09.442888,0,112,10,0,0,4,122,293376,0
20160817 09:19:09.442888,0,0,0,0,8,97,1,4,31488
20160823 08:06:39.442888,0,112,12,0,0,4,124,293888,0
20160823 08:06:39.442888,0,0,0,0,8,99,1,4,32000
20160823 08:06:39.442888,0,0,4,112,13,0,4,2097152000,8
20160823 08:06:39.442888,0,96,4,0,1,0,0,294400,1150
20160817 10:27:25.442888,0,96,5,0,1,0,0,294656,1151
20160817 10:27:25.442888,0,0,0,0,4,127,0,8,26113
20160817 10:27:25.442888,0,0,0,0,0,0,4,2147484800,4
20160817 10:27:25.442888,0,128,0,0,0,0,0,550657,0
20160817 10:27:25.442888,0,0,0,0,4,129,0,75563012,33024
20160817 10:27:25.442888,0,0,0,0,0,0,8,1744896000,4
20160817 10:27:25.442888,0,128,2,0,0,4,130,295424,0
20160817 10:27:25.442888,0,0,0,0,8,105,1,4,33536
20160823 09:14:55.442888,0,128,4,0,0,4,132,295936,0
20160823 09:14:55.442888,0,0,0,0,8,107,1,4,34048
20160823 09:14:55.442888,0,0,4,128,5,0,4,2231369728,8
20160823 09:14:55.442888,0,96,12,0,1,0,0,296448,1158
20160817 11:35:41.442888,0,96,13,0,1,0,0,296704,1159
20160817 11:35:41.442888,0,0,0,0,4,135,0,8,28161
20160817 11:35:41.442888,0,0,0,0,0,0,4,2281702536,4
20160817 11:35:41.442888,0,128,8,0,0,0,0,552705,0
20160817 11:35:41.442888,0,0,0,0,4,137,0,76087300,35072
20160817 11:35:41.442888,0,0,0,0,0,0,8,1879113728,4
20160817 11:35:41.442888,0,128,10,0,0,4,138,297472,0
20160817 11:35:41.442888,0,0,0,0,8,113,1,4,35584
20160823 10:23:11.442888,0,128,12,0,0,4,140,297984,0
20160823 10:23:11.442888,0,0,0,0,8,115,1,4,36096
20160823 10:23:11.442888,0,0,4,128,13,0,4,2365587456,8
20160823 10:23:11.442888,0,112,4,0,1,0,0,298496,1166
20160817 12:43:57.442888,0,112,5,0,1,0,0,298752,1167
20160817 12:43:57.442888,0,0,0,0,4,143,0,8,30209
20160817 12:43:57.442888,0,0,0,0,0,0,4,2415920272,4
20160817 12:43:57.442888,0,144,0,0,0,0,0,554753,0
20160817 12:43:57.442888,0,0,0,0,4,145,0,76611588,37120
20160817 12:43:57.442888,0,0,0,0,0,0,8,2013331456,4
20160817 12:43:57.442888,0,144,2,0,0,4,146,299520,0
20160817 12:43:57.442888,0,0,0,0,8,121,1,4,37632
20160823 11:31:27.442888,0,144,4,0,0,4,148,300032,0
20160823 11:31:27.442888,0,0,0,0,8,123,1,4,38144
20160823 11:31:27.442888,0,0,4,144,5,0,4,2499805184,8
20160823 11:31:27.442888,0,112,12,0,1,0,0,300544,1174
20160817 13:52:13.442888,0,112,13,0,1,0,0,300800,1175
20160817 13:52:13.442888,0,0,0,0,4,151,0,8,32257
20160817 13:52:13.442888,0,0,0,0,0,0,4,2550138008,4
20160817 13:52:13.442888,0,144,8,0,0,0,0,556801,0
20160817 13:52:13.442888,0,0,0,0,4,153,0,77135876,39168
20160817 13:52:13.442888,0,0,0,0,0,0,8,2147549184,4
20160817 13:52:13.442888,0,144,10,0,0,4,154,301568,0
20160817 13:52:13.442888,0,0,0,0,8,129,1,4,39680
20160823 12:39:43.442888,0,144,12,0,0,4,156,302080,0
20160823 12:39:43.442888,0,0,0,0,8,131,1,4,40192
20160823 12:39:43.442888,0,0,4,144,13,0,4,2634022912,8
20160823 12:39:43.442888,0,128,4,0,1,0,0,302592,1182
20160817 15:00:29.442888,0,128,5,0,1,0,0,302848,1183
20160817 15:00:29.442888,0,0,0,0,4,159,0,8,34305
20160817 15:00:29.442888,0,0,0,0,0,0,4,2684355744,4
20160817 15:00:29.442888,0,160,0,0,0,0,0,558849,0
20160817 15:00:29.442888,0,0,0,0,4,161,0,77660164,41216
20160817 15:00:29.442888,0,0,0,0,0,0,8,2281766912,4
20160817 15:00:29.442888,0,160,2,0,0,4,162,303616,0
20160817 15:00:29.442888,0,0,0,0,8,137,1,4,41728
20160823 13:47:59.442888,0,160,4,0,0,4,164,304128,0
20160823 13:47:59.442888,0,0,0,0,8,139,1,4,42240
20160823 13:47:59.442888,0,0,4,160,5,0,4,2768240640,8
20160823 13:47:59.442888,0,128,12,0,1,0,0,304640,1190
20160817 16:08:45.442888,0,128,13,0,1,0,0,304896,1191
20160817 16:08:45.442888,0,0,0,0,4,167,0,8,36353
20160817 16:08:45.442888,0,0,0,0,0,0,4,2818573480,4
20160817 16:08:45.442888,0,160,8,0,0,0,0,560897,0
20160817 16:08:45.442888,0,0,0,0,4,169,0,78184452,43264
20160817 16:08:45.442888,0,0,0,0,0,0,8,2415984640,4
20160817 16:08:45.442888,0,160,10,0,0,4,170,305664,0
20160817 16:08:45.442888,0,0,0,0,8,145,1,4,43776
20160823 14:56:15.442888,0,160,12,0,0,4,172,306176,0
20160823 14:56:15.442888,0,0,0,0,8,147,1,4,44288
20160823 14:56:15.442888,0,0,4,160,13,0,4,2902458368,8
20160823 14:56:15.442888,0,144,4,0,1,0,0,306688,1198
20160817 17:17:01.442888,0,144,5,0,1,0,0,306944,1199
20160817 17:17:01.442888,0,0,0,0,4,175,0,8,38401
20160817 17:17:01.442888,0,0,0,0,0,0,4,2952791216,4
20160817 17:17:01.442888,0,176,0,0,0,0,0,562945,0
20160817 17:17:01.442888,0,0,0,0,4,177,0,78708740,45312
20160817 17:17:01.442888,0,0,0,0,0,0,8,2550202368,4
20160817 17:17:01.442888,0,176,2,0,0,4,178,307712,0
20160817 17:17:01.442888,0,0,0,0,8,153,1,4,45824
20160823 16:04:31.442888,0,176,4,0,0,4,180,308224,0
20160823 16:04:31.442888,0,0,0,0,8,155,1,4,46336
20160823 16:04:31.442888,0,0,4,176,5,0,4,3036676096,8
20160823 16:04:31.442888,0,144,12,0,1,0,0,308736,1206
20160817 18:25:17.442888,0,144,13,0,1,0,0,308992,1207
20160817 18:25:17.442888,0,0,0,0,4,183,0,8,40449
20160817 18:25:17.442888,0,0,0,0,0,0,4,3087008952,4
20160817 18:25:17.442888,0,176,8,0,0,0,0,564993,0
20160817 18:25:17.442888,0,0,0,0,4,185,0,79233028,47360
20160817 18:25:17.442888,0,0,0,0,0,0,8,2684420096,4
20160817 18:25:17.442888,0,176,10,0,0,4,186,309760,0
20160817 18:25:17.442888,0,0,0,0,8,161,1,4,47872
20160823 17:12:47.442888,0,176,12,0,0,4,188,310272,0
20160823 17:12:47.442888,0,0,0,0,8,163,1,4,48384
20160823 17:12:47.442888,0,0,4,176,13,0,4,3170893824,8
20160823 17:12:47.442888,0,160,4,0,1,0,0,310784,1214
20160817 19:33:33.442888,0,160,5,0,1,0,0,311040,1215
20160817 19:33:33.442888,0,0,0,0,4,191,0,8,42497
20160817 19:33:33.442888,0,0,0,0,0,0,4,3221226688,4
20160817 19:33:33.442888,0,192,0,0,0,0,0,567041,0
20160817 19:33:33.442888,0,0,0,0,4,193,0,79757316,49408
20160817 19:33:33.442888,0,0,0,0,0,0,8,2818637824,4
20160817 19:33:33.442888,0,192,2,0,0,4,194,311808,0
20160817 19:33:33.442888,0,0,0,0,8,169,1,4,49920
20160823 18:21:03.442888,0,192,4,0,0,4,196,312320,0
20160823 18:21:03.442888,0,0,0,0,8,171,1,4,50432
20160823 18:21:03.442888,0,0,4,192,5,0,4,3305111552,8
20160823 18:21:03.442888,0,160,12,0,1,0,0,312832,1222
20160817 20:41:49.442888,0,160,13,0,1,0,0,313088,1223
20160817 20:41:49.442888,0,0,0,0,4,199,0,8,44545
20160817 20:41:49.442888,0,0,0,0,0,0,4,3355444424,4
20160817 20:41:49.442888,0,192,8,0,0,0,0,569089,0
20160817 20:41:49.442888,0,0,0,0,4,201,0,80281604,51456
20160817 20:41:49.442888,0,0,0,0,0,0,8,2952855552,4
20160817 20:41:49.442888,0,192,10,0,0,4,202,313856,0
20160817 20:41:49.442888,0,0,0,0,8,177,1,4,51968
20160823 19:29:19.442888,0,192,12,0,0,4,204,314368,0
20160823 19:29:19.442888,0,0,0,0,8,179,1,4,52480
20160823 19:29:19.442888,0,0,4,192,13,0,4,3439329280,8
20160823 19:29:19.442888,0,176,4,0,1,0,0,314880,1230
20160817 21:50:05.442888,0,176,5,0,1,0,0,315136,1231
20160817 21:50:05.442888,0,0,0,0,4,207,0,8,46593
20160817 21:50:05.442888,0,0,0,0,0,0,4,3489662160,4
20160817 21:50:05.442888,0,208,0,0,0,0,0,571137,0
20160817 21:50:05.442888,0,0,0,0,4,209,0,80805892,53504
20160817 21:50:05.442888,0,0,0,0,0,0,8,3087073280,4
20160817 21:50:05.442888,0,208,2,0,0,4,210,315904,0
20160817 21:50:05.442888,0,0,0,0,8,185,1,4,54016
20160823 20:37:35.442888,0,208,4,0,0,4,212,316416,0
20160823 20:37:35.442888,0,0,0,0,8,187,1,4,54528
20160823 20:37:35.442888,0,0,4,208,5,0,4,3573547008,8
20160823 20:37:35.442888,0,176,12,0,1,0,0,316928,1238
20160817 22:58:21.442888,0,176,13,0,1,0,0,317184,1239
20160817 22:58:21.442888,0,0,0,0,4,215,0,8,48641
20160817 22:58:21.442888,0,0,0,0,0,0,4,3623879896,4
20160817 22:58:21.442888,0,208,8,0,0,0,0,573185,0
20160817 22:58:21.442888,0,0,0,0,4,217,0,81330180,55552
20160817 22:58:21.442888,0,0,0,0,0,0,8,3221291008,4
20160817 22:58:21.442888,0,208,10,0,0,4,218,317952,0
20160817 22:58:21.442888,0,0,0,0,8,193,1,4,56064
20160823 21:45:51.442888,0,208,12,0,0,4,220,318464,0
20160823 21:45:51.442888,0,0,0,0,8,195,1,4,56576
20160823 21:45:51.442888,0,0,4,208,13,0,4,3707764736,8
20160823 21:45:51.442888,0,192,4,0,1,0,0,318976,1246
20160818 00:06:37.442888,0,192,5,0,1,0,0,319232,1247
20160818 00:06:37.442888,0,0,0,0,4,223,0,8,50689
20160818 00:06:37.442888,0,0,0,0,0,0,4,3758097632,4
20160818 00:06:37.442888,0,224,0,0,0,0,0,575233,0
20160818 00:06:37.442888,0,0,0,0,4,225,0,81854468,57600
20160818 00:06:37.442888,0,0,0,0,0,0,8,3355508736,4
20160818 00:06:37.442888,0,224,2,0,0,4,226,320000,0
20160818 00:06:37.442888,0,0,0,0,8,201,1,4,58112
20160823 22:54:07.442888,0,224,4,0,0,4,228,320512,0
20160823 22:54:07.442888,0,0,0,0,8,203,1,4,58624
20160823 22:54:07.442888,0,0,4,224,5,0,4,3841982464,8
20160823 22:54:07.442888,0,192,12,0,1,0,0,321024,1254
20160818 01:14:53.442888,0,192,13,0,1,0,0,321280,1255
20160818 01:14:53.442888,0,0,0,0,4,231,0,8,52737
20160818 01:14:53.442888,0,0,0,0,0,0,4,3892315368,4
20160818 01:14:53.442888,0,224,8,0,0,0,0,577281,0
20160818 01:14:53.442888,0,0,0,0,4,233,0,82378756,59648
20160818 01:14:53.442888,0,0,0,0,0,0,8,3489726464,4
20160818 01:14:53.442888,0,224,10,0,0,4,234,322048,0
20160818 01:14:53.442888,0,0,0,0,8,209,1,4,60160
20160824 00:02:23.442888,0,224,12,0,0,4,236,322560,0
20160824 00:02:23.442888,0,0,0,0,8,211,1,4,60672
20160824 00:02:23.442888,0,0,4,224,13,0,4,3976200192,8
20160824 00:02:23.442888,0,208,4,0,1,0,0,323072,1262
20160818 02:23:09.442888,0,208,5,0,1,0,0,323328,1263
20160818 02:23:09.442888,0,0,0,0,4,239,0,8,54785
20160818 02:23:09.442888,0,0,0,0,0,0,4,4026533104,4
20160818 02:23:09.442888,0,240,0,0,0,0,0,579329,0
20160818 02:23:09.442888,0,0,0,0,4,241,0,82903044,61696
20160818 02:23:09.442888,0,0,0,0,0,0,8,3623944192,4
20160818 02:23:09.442888,0,240,2,0,0,4,242,324096,0
20160818 02:23:09.442888,0,0,0,0,8,217,1,4,62208
20160824 01:10:39.442888,0,240,4,0,0,4,244,324608,0
20160824 01:10:39.442888,0,0,0,0,8,219,1,4,62720
20160824 01:10:39.442888,0,0,4,240,5,0,4,4110417920,8
20160824 01:10:39.442888,0,208,12,0,1,0,0,325120,1270
20160818 03:31:25.442888,0,208,13,0,1,0,0,325376,1271
20160818 03:31:25.442888,0,0,0,0,4,247,0,8,56833
20160818 03:31:25.442888,0,0,0,0,0,0,4,4160750840,4
20160818 03:31:25.442888,0,240,8,0,0,0,0,581377,0
20160818 03:31:25.442888,0,0,0,0,4,249,0,83427332,63744
20160818 03:31:25.442888,0,0,0,0,0,0,8,3758161920,4
20160818 03:31:25.442888,0,240,10,0,0,4,250,326144,0
20160818 03:31:25.442888,0,0,0,0,8,225,1,4,64256
20160824 02:18:55.442888,0,240,12,0,0,4,252,326656,0
20160824 02:18:55.442888,0,0,0,0,8,227,1,4,64768
20160824 02:18:55.442888,0,0,4,240,13,0,4,4244635648,8
20160824 02:18:55.442888,0,224,4,0,1,0,0,327168,1278
20160818 04:39:41.442888,0,224,5,0,1,0,0,327424,1279
20160818 04:39:41.442888,0,0,0,0,4,255,0,8,58881
20160818 04:39:41.442888,0,0,0,0,0,0,5,1280,5
20160818 04:39:41.442888,0,0,0,0,0,0,0,583425,0
20160818 04:39:41.442888,0,0,0,0,5,1,0,83951621,256
20160818 04:39:41.442888,0,0,0,0,0,0,8,3892379648,5
20160818 04:39:41.442888,0,0,2,0,0,5,2,328192,0
20160818 04:39:41.442888,0,0,0,0,8,233,1,5,768
20160824 03:27:11.442888,0,0,4,0,0,5,4,328704,0
20160824 03:27:11.442888,0,0,0,0,8,235,1,5,1280
20160824 03:27:11.442888,0,0,5,0,5,0,5,83886080,8
20160824 03:27:11.442888,0,224,12,0,1,0,0,329216,1286
20160824 03:27:11.442888,0,0,0,0,5,6,0,8,60673
20160810 14:54:15.497576,0,0,10,0,0,5,10,330240,0
20160810 14:54:15.497576,0,0,0,0,8,241,1,5,2816
20160810 14:54:15.497576,0,0,5,0,11,0,5,184549376,8
20160810 14:54:15.497576,0,240,2,0,1,0,0,330752,1292
20160810 14:54:15.497576,0,0,0,0,5,12,0,8,62209
20160810 14:54:15.497576,0,0,0,0,0,0,5,218105101,5
20160810 14:54:15.497576,0,0,13,0,0,0,0,586753,0
20160818 06:56:13.481950,0,0,5,16,6,0,5,369098752,8
20160818 06:56:13.481950,0,240,13,0,1,0,0,333568,1303
20160818 06:56:13.481950,0,0,0,0,5,23,0,8,65025
20160818 06:56:13.481950,0,0,0,0,0,0,5,402654488,5
20160818 06:56:13.481950,0,16,8,0,0,0,0,589569,0
20160818 08:30:05.481950,0,0,0,0,5,39,0,9,3585
20160818 08:30:05.481950,0,0,0,0,0,0,5,671089960,5
20160818 08:30:05.481950,0,32,8,0,0,0,0,593665,0
20160818 08:30:05.481950,0,0,0,0,5,41,0,86573061,10496
20160818 08:30:05.481950,0,0,0,0,0,0,9,268500992,5
20160824 12:41:51.442888,0,64,5,0,0,5,69,345344,0
20160824 12:41:51.442888,0,0,0,0,9,44,1,5,17920
20160824 12:41:51.442888,0,0,5,64,6,0,5,1174405120,9
20160824 12:41:51.442888,0,32,13,0,1,0,0,345856,1351
20160824 12:41:51.442888,0,0,0,0,5,71,0,9,11777
20160810 14:54:16.005388,0,64,11,0,0,5,75,346880,0
20160810 14:54:16.005388,0,0,0,0,9,50,1,5,19456
20160810 14:54:16.005388,0,0,5,64,12,0,5,1275068416,9
20160810 14:54:16.005388,0,48,3,0,1,0,0,347392,1357
20160810 14:54:16.005388,0,0,0,0,5,77,0,9,13313
20160810 14:54:16.005388,0,0,0,0,0,0,5,1308624206,5
20160810 14:54:16.005388,0,64,14,0,0,0,0,603393,0
20160810 14:54:16.005388,0,0,0,0,5,79,0,89063429,20224
20160810 14:54:16.005388,0,0,0,0,0,0,9,906035200,5
20160810 14:54:16.005388,0,80,0,0,0,5,80,348160,0
20160810 14:54:16.005388,0,0,0,0,9,55,1,5,20736
20160810 14:54:16.005388,0,0,5,80,1,0,5,1358954496,9
20160810 14:54:16.005388,0,48,8,0,1,0,0,348672,1362
20160810 14:54:16.005388,0,0,0,0,5,82,0,9,14593
20160810 14:54:16.005388,0,0,0,0,0,0,5,1392510291,5
20160810 14:54:16.005388,0,80,3,0,0,0,0,604673,0
20160810 14:54:16.005388,0,0,0,0,5,84,0,89391109,21504
20160810 14:54:16.005388,0,0,0,0,0,0,9,989921280,5
20160810 14:54:16.005388,0,80,5,0,0,5,85,349440,0
20160810 14:54:16.005388,0,0,0,0,9,60,1,5,22016
20160810 14:54:16.005388,0,0,5,80,6,0,5,1442840576,9
20160810 14:54:16.005388,0,48,13,0,1,0,0,349952,1367
20160810 14:54:16.005388,0,0,0,0,5,87,0,9,15873
