time,x,y,z
20160805 15:28:12.722726,0,0,0,0
20160805 15:28:12.730539,0,165185,165185,165185
20160805 15:28:12.738352,0,165186,165186,165186
20160805 15:28:12.746164,0,165187,165187,165187
20160805 15:28:12.753976,0,165188,165188,165188
20160805 15:28:12.761789,0,165189,165189,165189
20160805 15:28:12.769602,0,165190,165190,165190
20160805 15:28:12.777414,0,165191,165191,165191
20160805 15:28:12.785226,0,165192,165192,165192
20160805 15:28:12.793039,0,165193,165193,165193
20160805 15:28:12.800852,0,165194,165194,165194
20160805 15:28:12.808664,0,165195,165195,165195
20160805 15:28:12.816476,0,165196,165196,165196
20160805 15:28:12.824289,0,165197,165197,165197
20160805 15:28:12.832102,0,165198,165198,165198
20160805 15:28:12.839914,0,165199,165199,165199
20160805 15:28:12.847726,0,165200,165200,165200
20160805 15:28:12.855539,0,165201,165201,165201
20160805 15:28:12.863352,0,165202,165202,165202
20160805 15:28:12.871164,0,165203,165203,165203
20160805 15:28:12.878976,0,165204,165204,165204
20160805 15:28:12.886789,0,165205,165205,165205
20160805 15:28:12.894602,0,165206,165206,165206
20160805 15:28:12.902414,0,165207,165207,165207
20160805 15:28:12.910226,0,165208,165208,165208
20160805 15:28:12.918039,0,165209,165209,165209
20160805 15:28:12.925852,0,165210,165210,165210
20160805 15:28:12.933664,0,165211,165211,165211
20160805 15:28:12.941476,0,165212,165212,165212
20160805 15:28:12.949289,0,165213,165213,165213
20160805 15:28:12.957102,0,165214,165214,165214
20160805 15:28:12.964914,0,165215,165215,165215
20160805 15:28:12.972726,0,165216,165216,165216
20160805 15:28:12.980539,0,165217,165217,165217
20160805 15:28:12.988352,0,165218,165218,165218
20160805 15:28:12.996164,0,165219,165219,165219
20160805 15:28:13.003976,0,165220,165220,165220
20160805 15:28:13.011789,0,165221,165221,165221
20160805 15:28:13.019602,0,165222,165222,165222
20160805 15:28:13.027414,0,165223,165223,165223
20160805 15:28:13.035226,0,165224,165224,165224
20160805 15:28:13.043039,0,165225,165225,165225
20160805 15:28:13.050852,0,165226,165226,165226
20160805 15:28:13.058664,0,165227,165227,165227
20160805 15:28:13.066476,0,165228,165228,165228
20160805 15:28:13.074289,0,165229,165229,165229
20160805 15:28:13.082102,0,165230,165230,165230
20160805 15:28:13.089914,0,165231,165231,165231
20160805 15:28:13.097726,0,165232,165232,165232
20160805 15:28:13.105539,0,165233,165233,165233
20160805 15:28:13.113352,0,165234,165234,165234
20160805 15:28:13.121164,0,165235,165235,165235
20160805 15:28:13.128976,0,165236,165236,165236
20160805 15:28:13.136789,0,165237,165237,165237
20160805 15:28:13.144602,0,165238,165238,165238
20160805 15:28:13.152414,0,165239,165239,165239
20160805 15:28:13.160226,0,165240,165240,165240
20160805 15:28:13.168039,0,165241,165241,165241
20160805 15:28:13.175852,0,165242,165242,165242
20160805 15:28:13.183664,0,165243,165243,165243
20160805 15:28:13.191476,0,165244,165244,165244
20160805 15:28:13.199289,0,165245,165245,165245
20160805 15:28:13.207102,0,165246,165246,165246
20160805 15:28:13.214914,0,165247,165247,165247
20160805 15:28:13.222726,0,165248,165248,165248
20160805 15:28:13.230539,0,165249,165249,165249
20160805 15:28:13.238352,0,165250,165250,165250
20160805 15:28:13.246164,0,165251,165251,165251
20160805 15:28:13.253976,0,165252,165252,165252
20160805 15:28:13.261789,0,165253,165253,165253
20160805 15:28:13.269602,0,165254,165254,165254
20160805 15:28:13.277414,0,165255,165255,165255
20160805 15:28:13.285226,0,165256,165256,165256
20160805 15:28:13.293039,0,165257,165257,165257
20160805 15:28:13.300852,0,165258,165258,165258
20160805 15:28:13.308664,0,165259,165259,165259
20160805 15:28:13.316476,0,165260,165260,165260
20160805 15:28:13.324289,0,165261,165261,165261
20160805 15:28:13.332102,0,165262,165262,165262
20160805 15:28:13.339914,0,165263,165263,165263
20160805 15:28:13.347726,0,165264,165264,165264
20160805 15:28:13.355539,0,165265,165265,165265
20160805 15:28:13.363352,0,165266,165266,165266
20160805 15:28:13.371164,0,165267,165267,165267
20160805 15:28:13.378976,0,165268,165268,165268
20160805 15:28:13.386789,0,165269,165269,165269
20160805 15:28:13.394602,0,165270,165270,165270
20160805 15:28:13.402414,0,165271,165271,165271
20160805 15:28:13.410226,0,165272,165272,165272
20160805 15:28:13.418039,0,165273,165273,165273
20160805 15:28:13.425852,0,165274,165274,165274
20160805 15:28:13.433664,0,165275,165275,165275
20160805 15:28:13.441476,0,165276,165276,165276
20160805 15:28:13.449289,0,165277,165277,165277
20160805 15:28:13.457102,0,165278,165278,165278
20160805 15:28:13.464914,0,165279,165279,165279
20160805 15:28:13.472726,0,165280,165280,165280
20160805 15:28:13.480539,0,165281,165281,165281
20160805 15:28:13.488352,0,165282,165282,165282
20160805 15:28:13.496164,0,165283,165283,165283
20160805 15:28:13.503976,0,165284,165284,165284
20160805 15:28:13.511789,0,165285,165285,165285
